sentence_id,source_canonical,generated_headline,rules_applied_count,events_triggered,success,error
24,An investor has sued the Google founders for a sexual harassment cover-up.,investor sued Google founders for sexual harassment cover - up ,5,FW-DEL:an→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
25,A party leader said that Congress is ready to fight elections alone in UP.,party leader say that Congress is ready to fight elections alone in UP ,3,FW-DEL:a→ABSENT|FORM-CHG:said→say|C-DEL:PERIOD→ABSENT,True,
26,Akhilesh Yadav said that from time to time a CBI probe should happen.,Akhilesh Yadav say that from time to time CBI probe happen ,4,FORM-CHG:said→say|FW-DEL:a→ABSENT|FW-DEL:should→ABSENT|C-DEL:PERIOD→ABSENT,True,
27,Rahul Gandhi said that Andhra will get special status if Congress wins.,Rahul Gandhi say that Andhra get special status if Congress win ,4,FORM-CHG:said→say|FW-DEL:will→ABSENT|FORM-CHG:wins→win|C-DEL:PERIOD→ABSENT,True,
28,The Punjab Chief Minister said that Badal is playing with the religious sentiments of people.,Punjab Chief Minister say that Badal playing with religious sentiments of people ,5,FW-DEL:the→ABSENT|FORM-CHG:said→say|FW-DEL:is→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
29,Elon Musk shared the first picture of the SpaceX Starship test rocket.,Elon Musk share first picture of SpaceX Starship test rocket ,4,FORM-CHG:shared→share|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
30,"""The country is a prison,"" said the UN about North Korea's human rights abuses.",""" country is prison , "" say UN about North Korea 's human rights abuses ",5,FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|FORM-CHG:said→say|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
31,Canada and Australia are in talks with the UN to grant asylum to a Saudi girl.,Canada and Australia are in talks with UN to grant asylum to Saudi girl ,3,FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
32,The ex-CBI chief has quit the IPS and refused to take the role of DG Fire Services.,ex - CBI chief quit IPS and refuse to take role of DG Fire Services ,6,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FORM-CHG:refused→refuse|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
33,Pandya and Rahul have been suspended pending inquiry over comments on women.,Pandya and Rahul been suspended pending inquiry over comments on women ,2,FW-DEL:have→ABSENT|C-DEL:PERIOD→ABSENT,True,
34,"‘Shareef tha voh bechara,’ said Anupam Kher's mother about Manmohan Singh.","‘ Shareef tha voh bechara , ’ say Anupam Kher 's mother about Manmohan Singh ",2,FORM-CHG:said→say|C-DEL:PERIOD→ABSENT,True,
35,Interim CBI chief Rao cancelled all the transfer orders made by Alok Verma.,Interim CBI chief Rao cancel all transfer orders made by Alok Verma ,3,FORM-CHG:cancelled→cancel|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
36,"‘Is deewar ka saaf mann aur hriday bhi hai,’ said Sehwag as he wished Dravid.","‘ Is deewar ka saaf mann aur hriday bhi hai , ’ say Sehwag as he wish Dravid ",3,FORM-CHG:said→say|FORM-CHG:wished→wish|C-DEL:PERIOD→ABSENT,True,
37,An MP school principal called CM Kamal Nath 'daku' and was suspended.,MP school principal called CM Kamal Nath ' daku ' and was suspended ,2,FW-DEL:an→ABSENT|C-DEL:PERIOD→ABSENT,True,
38,The ISRO chief said that women astronauts are also wanted in the December 2021 space mission.,ISRO chief say that women astronauts are also wanted in December 2021 space mission ,4,FW-DEL:the→ABSENT|FORM-CHG:said→say|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
39,The UK High Commission has received consular access to Christian Michel.,UK High Commission received consular access to Christian Michel ,3,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
40,A Chinese farmer built an Airbus A320 replica to fulfil his childhood dream.,Chinese farmer build Airbus A320 replica to fulfil his childhood dream ,4,FW-DEL:a→ABSENT|FORM-CHG:built→build|FW-DEL:an→ABSENT|C-DEL:PERIOD→ABSENT,True,
41,The US has begun withdrawal from Syria after ISIS was defeated.,US begun withdrawal from Syria after ISIS was defeated ,3,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
42,"Gautam Singhania of Raymond said, ""My dad has hundreds of crores with him.""","Gautam Singhania of Raymond say , "" My dad have hundreds of crores with him . """,2,FORM-CHG:said→say|FORM-CHG:has→have,True,
43,Singapore Airlines fired a pilot for failing a pre-flight alcohol test.,Singapore Airlines fire pilot for failing pre - flight alcohol test ,4,FORM-CHG:fired→fire|FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
44,"Rhea Kapoor will marry her rumoured boyfriend Karan Boolani, according to a report.","Rhea Kapoor marry her rumoured boyfriend Karan Boolani , according to report ",3,FW-DEL:will→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
45,"Ranveer said, ""Being the best entertainer is my single point agenda.""","Ranveer say , "" Being best entertainer is my single point agenda . """,2,FORM-CHG:said→say|FW-DEL:the→ABSENT,True,
46,"Sushant will star in Bhandarkar's 'Inspector Ghalib', according to reports.","Sushant star in Bhandarkar 's ' Inspector Ghalib ' , according to reports ",2,FW-DEL:will→ABSENT|C-DEL:PERIOD→ABSENT,True,
47,Deepika's battle with depression has been included in a book for kids.,Deepika 's battle with depression been included in book for kids ,3,FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
48,"Kangana said, ""Words like jingoism are used for shaming these days.""","Kangana say , "" Words like jingoism are used for shaming these days . """,1,FORM-CHG:said→say,True,
49,Piyush took a jibe at a Congress leader and called him a 'man of consistency'.,Piyush take jibe at Congress leader and call him ' man of consistency ' ,6,FORM-CHG:took→take|FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|FORM-CHG:called→call|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
50,The BCCI has announced the schedule for the T20I and ODI series with Australia at home.,BCCI announced schedule for T20I and ODI series with Australia at home ,5,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
51,"Sibal said, ""A caged parrot will remain caged,"" about the CBI chief's removal.","Sibal say , "" caged parrot remain caged , "" about CBI chief 's removal ",5,FORM-CHG:said→say|FW-DEL:a→ABSENT|FW-DEL:will→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
52,A BJP leader said that Rahul is crying more than Alok Verma in the CBI matter.,BJP leader say that Rahul crying more than Alok Verma in CBI matter ,5,FW-DEL:a→ABSENT|FORM-CHG:said→say|FW-DEL:is→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
53,Gunneswaran is the third Indian in five years to play in a Grand Slam.,Gunneswaran is third Indian in five years to play in Grand Slam ,3,FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
54,Kuldeep Singh Rathore has been named chief of the Himachal Congress.,Kuldeep Singh Rathore been named chief of Himachal Congress ,3,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
55,"Stalin said, ""PM Modi isn't Vajpayee and DMK will never ally with BJP.""","Stalin say , "" PM Modi is n't Vajpayee and DMK never ally with BJP . """,2,FORM-CHG:said→say|FW-DEL:will→ABSENT,True,
56,"A man was held for duping 2,000 people using PM Modi's pictures.","man was held for duping 2,000 people using PM Modi 's pictures ",2,FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
57,A report said that the boat carrying Maharashtra officials capsized due to the driver's error.,report say that boat carrying Maharashtra officials capsize due to driver 's error ,6,FW-DEL:a→ABSENT|FORM-CHG:said→say|FW-DEL:the→ABSENT|FORM-CHG:capsized→capsize|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
58,A Russian artist was jailed for setting fire to the Bank of France.,Russian artist was jailed for setting fire to Bank of France ,3,FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
59,The Delhi High Court refused to cancel the bribery case against CBI No. 2 Asthana.,Delhi High Court refuse to cancel bribery case against CBI No . 2 Asthana ,4,FW-DEL:the→ABSENT|FORM-CHG:refused→refuse|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
60,Gurmeet Ram Rahim has been convicted for the murder of a journalist in 2002.,Gurmeet Ram Rahim been convicted for murder of journalist in 2002 ,4,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
61,A scoring error led to a Pakistani batsman getting run out on 499.,scoring error lead to Pakistani batsman getting run out on 499 ,4,FW-DEL:a→ABSENT|FORM-CHG:led→lead|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
62,The BCCI legal cell said that Pandya and Rahul can be suspended till further action.,BCCI legal cell say that Pandya and Rahul be suspended till further action ,4,FW-DEL:the→ABSENT|FORM-CHG:said→say|FW-DEL:can→ABSENT|C-DEL:PERIOD→ABSENT,True,
63,Kohli said that Rahul and Pandya have understood the magnitude of what has happened.,Kohli say that Rahul and Pandya understood magnitude of what happened ,5,FORM-CHG:said→say|FW-DEL:have→ABSENT|FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
64,"A cricketer said, ""Her eyes were open and she knew it was me,"" but he denies the rape charge.","cricketer say , "" Her eyes were open and she know it was me , "" but he deny rape charge ",6,FW-DEL:a→ABSENT|FORM-CHG:said→say|FORM-CHG:knew→know|FORM-CHG:denies→deny|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
65,Rahul said that the 1984 riot culprits must be punished regardless of identity.,Rahul say that 1984 riot culprits be punished regardless of identity ,4,FORM-CHG:said→say|FW-DEL:the→ABSENT|FW-DEL:must→ABSENT|C-DEL:PERIOD→ABSENT,True,
66,"The Supreme Court said, ""Keep trying and miracles do happen,"" on the Meghalaya mine rescue effort.","Supreme Court say , "" Keep trying and miracles happen , "" on Meghalaya mine rescue effort ",5,FW-DEL:the→ABSENT|FORM-CHG:said→say|FW-DEL:do→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
67,The mutilated body of a 15-year-old West Bengal girl was found hanging from a tree.,mutilated body of 15 - year - old West Bengal girl was found hanging from tree ,4,FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
68,Chhattisgarh has become the third state to bar the CBI from probing cases.,Chhattisgarh become third state to bar CBI from probing cases ,4,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
69,"Police said that a man killed his nephew, buried him in the balcony, and planted saplings.","Police say that man kill his nephew , bury him in balcony , and planted saplings ",6,FORM-CHG:said→say|FW-DEL:a→ABSENT|FORM-CHG:killed→kill|FORM-CHG:buried→bury|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
70,A Myanmar court has rejected the appeal by Reuters and journalists jailed for seven years.,Myanmar court rejected appeal by Reuters and journalists jailed for seven years ,4,FW-DEL:a→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
71,"Trump said, ""We're with you,"" to the kin of a murdered Indian-origin policeman.","Trump say , "" We 're with you , "" to kin of murdered Indian - origin policeman ",4,FORM-CHG:said→say|FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
72,A Greek university received an envelope containing an 'irritant' from India.,Greek university receive envelope containing ' irritant ' from India ,5,FW-DEL:a→ABSENT|FORM-CHG:received→receive|FW-DEL:an→ABSENT|FW-DEL:an→ABSENT|C-DEL:PERIOD→ABSENT,True,
73,A rare 1 cent coin found by a US teen in 1947 was auctioned for ₹1.4 crore.,rare 1 cent coin found by US teen in 1947 was auctioned for ₹ 1.4 crore ,3,FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
74,"Alia and Ranbir will get engaged after Brahmastra's release, according to a report.","Alia and Ranbir get engaged after Brahmastra 's release , according to report ",3,FW-DEL:will→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
75,Vicky Kaushal's 'Uri: The Surgical Strike' has hit the theatres.,Vicky Kaushal 's ' Uri : Surgical Strike ' hit theatres ,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
76,An elbow injury forced Steve Smith to return home from the BPL.,elbow injury force Steve Smith to return home from BPL ,4,FW-DEL:an→ABSENT|FORM-CHG:forced→force|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
77,"Barcelona, without Barcelona, suffered a loss in the Copa Del Rey first leg.","Barcelona , without Barcelona , suffer loss in Copa Del Rey first leg ",4,FORM-CHG:suffered→suffer|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
78,A BJP leader said that the Congress government in MP is running at their ‘mercy’.,BJP leader say that Congress government in MP running at their ‘ mercy ’ ,5,FW-DEL:a→ABSENT|FORM-CHG:said→say|FW-DEL:the→ABSENT|FW-DEL:is→ABSENT|C-DEL:PERIOD→ABSENT,True,
79,"Rahul Gandhi said, ""There are certain things that PM Modi says I listen to.""","Rahul Gandhi say , "" There be certain things that PM Modi say I listen to . """,4,FORM-CHG:said→say|FORM-CHG:are→be|FORM-CHG:says→say|FORM-CHG:listen→listen,True,
80,"Ram Vilas Paswan said, ""I don't know Manmohan Singh's caste.""","Ram Vilas Paswan say , "" I n't know Manmohan Singh 's caste . """,2,FORM-CHG:said→say|FW-DEL:do→ABSENT,True,
81,A Congress leader said that PM Modi is a dictator and works like Hitler and Putin.,Congress leader say that PM Modi is dictator and work like Hitler and Putin ,5,FW-DEL:a→ABSENT|FORM-CHG:said→say|FW-DEL:a→ABSENT|FORM-CHG:works→work|C-DEL:PERIOD→ABSENT,True,
82,The Centre has launched a five-year plan to combat pollution in 102 cities.,Centre launched five - year plan to combat pollution in 102 cities ,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
83,The Karnataka government has approved a suburban rail project for Bengaluru.,Karnataka government approved suburban rail project for Bengaluru ,4,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
84,Foreign currency worth ₹38 lakh was seized at Hyderabad Airport.,Foreign currency worth ₹ 38 lakh was seized at Hyderabad Airport ,1,C-DEL:PERIOD→ABSENT,True,
85,The Cabinet has approved three new AIIMS at Gujarat and Jammu and Kashmir.,Cabinet approved three new AIIMS at Gujarat and Jammu and Kashmir ,3,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
86,Hotstar has taken down Pandya and Rahul's ‘Koffee With Karan’ episode.,Hotstar taken down Pandya and Rahul 's ‘ Koffee With Karan ’ episode ,2,FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
87,Rajinikanth fans got married at a TN theatre while his film 'Petta' was running.,Rajinikanth fans got married at TN theatre while his film ' Petta ' running ,3,FW-DEL:a→ABSENT|FW-DEL:was→ABSENT|C-DEL:PERIOD→ABSENT,True,
88,Pujara said it means a lot and thanked Viv Richards for the congratulatory message.,Pujara say it mean lot and thank Viv Richards for congratulatory message ,6,FORM-CHG:said→say|FORM-CHG:means→mean|FW-DEL:a→ABSENT|FORM-CHG:thanked→thank|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
89,Australia will don a 1986-inspired green and gold kit in ODIs versus India.,Australia don 1986 - inspired green and gold kit in ODIs versus India ,3,FW-DEL:will→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
90,Alok Verma said he was sad to be transferred based on false allegations.,Alok Verma say he was sad to be transferred based on false allegations ,2,FORM-CHG:said→say|C-DEL:PERIOD→ABSENT,True,
91,Justin Langer said that Pujara watches the ball more closely than even Dravid and Sachin.,Justin Langer say that Pujara watch ball more closely than even Dravid and Sachin ,4,FORM-CHG:said→say|FORM-CHG:watches→watch|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
92,US police have issued a warrant for Ronaldo's DNA in a rape investigation.,US police issued warrant for Ronaldo 's DNA in rape investigation ,4,FW-DEL:have→ABSENT|FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
93,The hosts UAE handed India their first defeat of the Asian Cup 2019.,hosts UAE hand India their first defeat of Asian Cup 2019 ,4,FW-DEL:the→ABSENT|FORM-CHG:handed→hand|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
94,Murray broke down and said the Australian Open could be his last event.,Murray break down and say Australian Open be his last event ,5,FORM-CHG:broke→break|FORM-CHG:said→say|FW-DEL:the→ABSENT|FW-DEL:could→ABSENT|C-DEL:PERIOD→ABSENT,True,
95,Mary Kom has become the world number one woman boxer in the 48-kg category.,Mary Kom become world number one woman boxer in 48 - kg category ,4,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
96,A robotic sex toy won a CES innovation award but it was taken back later.,robotic sex toy win CES innovation award but it was taken back later ,4,FW-DEL:a→ABSENT|FORM-CHG:won→win|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
97,"A male nurse left a baby's head inside during a failed delivery, resulting in decapitation.","male nurse leave baby 's head inside during failed delivery , resulting in decapitation ",5,FW-DEL:a→ABSENT|FORM-CHG:left→leave|FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
98,"Police burned a body with waste and kept the ₹2,700 given for proper cremation.","Police burn body with waste and keep ₹ 2,700 given for proper cremation ",5,FORM-CHG:burned→burn|FW-DEL:a→ABSENT|FORM-CHG:kept→keep|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
99,"A pilot landed a helicopter on its nose to rescue a skier, and the video went viral.","pilot land helicopter on its nose to rescue skier , and video go viral ",7,FW-DEL:a→ABSENT|FORM-CHG:landed→land|FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|FORM-CHG:went→go|C-DEL:PERIOD→ABSENT,True,
100,Raymond chief Gautam Singhania will quit from all group companies.,Raymond chief Gautam Singhania quit from all group companies ,2,FW-DEL:will→ABSENT|C-DEL:PERIOD→ABSENT,True,
101,"Trump said, ""I wish him luck and it's going to be a beauty,"" about Bezos' divorce.","Trump say , "" I wish him luck and it 's going to be beauty , "" about Bezos ' divorce ",4,FORM-CHG:said→say|FORM-CHG:wish→wish|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
102,Sunil Grover's 'Kanpur Waale Khuranas' will go off air.,Sunil Grover 's ' Kanpur Waale Khuranas ' go off air ,2,FW-DEL:will→ABSENT|C-DEL:PERIOD→ABSENT,True,
103,Anupam Kher's 'The Accidental Prime Minister' has hit theatres.,Anupam Kher 's ' Accidental Prime Minister ' hit theatres ,3,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True,
104,Rahul said that the Prime Minister can't sleep after Alok Verma's removal as CBI chief.,Rahul say that Prime Minister ca n't sleep after Alok Verma 's removal as CBI chief ,3,FORM-CHG:said→say|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
105,Google’s limit on the ‘right to be forgotten’ was supported in Europe.,Google ’s limit on ‘ right to be forgotten ’ was supported in Europe ,2,FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
106,"Tata Motors-owned Jaguar Land Rover will slash 4,500 jobs.","Tata Motors - owned Jaguar Land Rover slash 4,500 jobs ",2,FW-DEL:will→ABSENT|C-DEL:PERIOD→ABSENT,True,
107,Rolls-Royce has warned that Brexit could bring production to a halt.,Rolls - Royce warned that Brexit bring production to halt ,4,FW-DEL:has→ABSENT|FW-DEL:could→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
108,Scientists have found a protein to make a mosquito birth control drug.,Scientists found protein to make mosquito birth control drug ,4,FW-DEL:have→ABSENT|FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
109,A star-producing quasar brighter than 600 trillion Suns was found.,star - producing quasar brighter than 600 trillion Suns was found ,2,FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
110,A star-eating black hole was found spinning at half the speed of light.,star - eating black hole was found spinning at half speed of light ,3,FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
111,Iran has said it will not comply with the illegal US sanctions.,Iran said it not comply with illegal US sanctions ,4,FW-DEL:has→ABSENT|FW-DEL:will→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True,
112,Maduro has been sworn in as Venezuela President for a second term amid economic crisis.,Maduro been sworn in as Venezuela President for second term amid economic crisis ,3,FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
113,"‘Ghar pe TV nai hai kya, idiot?’ said Jadeja to a fan criticising his batting.","‘ Ghar pe TV nai hai kya , idiot ? ’ say Jadeja to fan criticising his batting ",3,FORM-CHG:said→say|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
114,Rohit Sharma said that MS Dhoni is like a guiding light for Team India.,Rohit Sharma say that MS Dhoni is like guiding light for Team India ,3,FORM-CHG:said→say|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True,
