sentence_id,direction,source,target,rule_chain,token_changes,num_rules,events,success
10,C2H,Sivan said that he will bring Indian students to ISRO; they don't need to go to NASA.,Sivan say that he bring Indian students to ISRO ; they n't need to go to NASA ,FORM-CHG-VERB-LEMMA → FW-DEL-AUX-WILL → FW-DEL-AUX-DO → C-DEL-PERIOD,said⇒say → will⇒<DELETED> → do⇒<DELETED> → .⇒<DELETED>,4,FORM-CHG:said→say|FW-DEL:will→ABSENT|FW-DEL:do→ABSENT|C-DEL:PERIOD→ABSENT,True
11,C2H,A boy jumped in front of a metro after fighting with his family over phone use.,boy jump in front of metro after fighting with his family over phone use ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → C-DEL-PERIOD,A⇒<DELETED> → jumped⇒jump → a⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:a→ABSENT|FORM-CHG:jumped→jump|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
12,C2H,passengers and crew members fell sick on a Royal Caribbean ship.,passengers and crew members fall sick on Royal Caribbean ship ,FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → C-DEL-PERIOD,fell⇒fall → a⇒<DELETED> → .⇒<DELETED>,3,FORM-CHG:fell→fall|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
13,C2H,"Infosys' third-quarter profit dropped nearly 30% to ₹3,609 crore.","Infosys ' third - quarter profit drop nearly 30 % to ₹ 3,609 crore ",FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,dropped⇒drop → .⇒<DELETED>,2,FORM-CHG:dropped→drop|C-DEL:PERIOD→ABSENT,True
14,C2H,Mahindra suggested a gift for the tea-selling couple who toured 23 nations.,Mahindra suggest gift for tea - selling couple who tour 23 nations ,FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,suggested⇒suggest → a⇒<DELETED> → the⇒<DELETED> → toured⇒tour → .⇒<DELETED>,5,FORM-CHG:suggested→suggest|FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|FORM-CHG:toured→tour|C-DEL:PERIOD→ABSENT,True
15,C2H,Wipro's aerospace business has started supplying parts to Boeing.,Wipro 's aerospace business started supplying parts to Boeing ,FW-DEL-AUX-HAS → C-DEL-PERIOD,has⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True
16,C2H,"Vikrant said, ""I connect with women directors on a personal level.""","Vikrant say , "" I connect with women directors on personal level . """,FORM-CHG-VERB-LEMMA → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A,said⇒say → connect⇒connect → a⇒<DELETED>,3,FORM-CHG:said→say|FORM-CHG:connect→connect|FW-DEL:a→ABSENT,True
17,C2H,Virat and Deepika have been listed as the most valuable Indian celebrities.,Virat and Deepika been listed as most valuable Indian celebrities ,FW-DEL-AUX-HAVE → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,have⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:have→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
18,C2H,The 'first' openly gay Latin rapper was shot dead in Puerto Rico.,' first ' openly gay Latin rapper was shot dead in Puerto Rico ,FW-DEL-ARTICLE-THE → C-DEL-PERIOD,The⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
19,C2H,Producer Sandip said that the Modi biopic is not a political film.,Producer Sandip say that Modi biopic is not political film ,FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-A → C-DEL-PERIOD,said⇒say → the⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,4,FORM-CHG:said→say|FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
20,C2H,'The Accidental...' was halted in a Kolkata theatre amid protests.,' Accidental ... ' was halted in Kolkata theatre amid protests ,FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-A → C-DEL-PERIOD,The⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
21,C2H,Kohli and Shastri have received honorary membership of the SCG.,Kohli and Shastri received honorary membership of SCG ,FW-DEL-AUX-HAVE → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,have⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:have→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
22,C2H,The head of Japan's Olympic Committee is under investigation.,head of Japan 's Olympic Committee is under investigation ,FW-DEL-ARTICLE-THE → C-DEL-PERIOD,The⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
23,C2H,New Zealand beat Sri Lanka by 35 runs in the sole T20I.,New Zealand beat Sri Lanka by 35 runs in sole T20I,FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,beat⇒beat → the⇒<DELETED> → .⇒<DELETED>,3,FORM-CHG:beat→beat|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
24,C2H,An investor has sued the Google founders for a sexual harassment cover-up.,investor sued Google founders for sexual harassment cover - up ,FW-DEL-ARTICLE-AN → FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-A → C-DEL-PERIOD,An⇒<DELETED> → has⇒<DELETED> → the⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,5,FW-DEL:an→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
25,C2H,A party leader said that Congress is ready to fight elections alone in UP.,party leader say that Congress is ready to fight elections alone in UP ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,A⇒<DELETED> → said⇒say → .⇒<DELETED>,3,FW-DEL:a→ABSENT|FORM-CHG:said→say|C-DEL:PERIOD→ABSENT,True
26,C2H,Akhilesh Yadav said that from time to time a CBI probe should happen.,Akhilesh Yadav say that from time to time CBI probe happen ,FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → FW-DEL-AUX-SHOULD → C-DEL-PERIOD,said⇒say → a⇒<DELETED> → should⇒<DELETED> → .⇒<DELETED>,4,FORM-CHG:said→say|FW-DEL:a→ABSENT|FW-DEL:should→ABSENT|C-DEL:PERIOD→ABSENT,True
27,C2H,Rahul Gandhi said that Andhra will get special status if Congress wins.,Rahul Gandhi say that Andhra get special status if Congress win ,FORM-CHG-VERB-LEMMA → FW-DEL-AUX-WILL → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,said⇒say → will⇒<DELETED> → wins⇒win → .⇒<DELETED>,4,FORM-CHG:said→say|FW-DEL:will→ABSENT|FORM-CHG:wins→win|C-DEL:PERIOD→ABSENT,True
28,C2H,The Punjab Chief Minister said that Badal is playing with the religious sentiments of people.,Punjab Chief Minister say that Badal playing with religious sentiments of people ,FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → FW-DEL-AUX-IS → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,The⇒<DELETED> → said⇒say → is⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,5,FW-DEL:the→ABSENT|FORM-CHG:said→say|FW-DEL:is→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
29,C2H,Elon Musk shared the first picture of the SpaceX Starship test rocket.,Elon Musk share first picture of SpaceX Starship test rocket ,FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,shared⇒share → the⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,4,FORM-CHG:shared→share|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
30,C2H,"""The country is a prison,"" said the UN about North Korea's human rights abuses.",""" country is prison , "" say UN about North Korea 's human rights abuses ",FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,The⇒<DELETED> → a⇒<DELETED> → said⇒say → the⇒<DELETED> → .⇒<DELETED>,5,FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|FORM-CHG:said→say|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
31,C2H,Canada and Australia are in talks with the UN to grant asylum to a Saudi girl.,Canada and Australia are in talks with UN to grant asylum to Saudi girl ,FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-A → C-DEL-PERIOD,the⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
32,C2H,The ex-CBI chief has quit the IPS and refused to take the role of DG Fire Services.,ex - CBI chief quit IPS and refuse to take role of DG Fire Services ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → the⇒<DELETED> → refused⇒refuse → the⇒<DELETED> → .⇒<DELETED>,6,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FORM-CHG:refused→refuse|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
33,C2H,Pandya and Rahul have been suspended pending inquiry over comments on women.,Pandya and Rahul been suspended pending inquiry over comments on women ,FW-DEL-AUX-HAVE → C-DEL-PERIOD,have⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:have→ABSENT|C-DEL:PERIOD→ABSENT,True
34,C2H,"‘Shareef tha voh bechara,’ said Anupam Kher's mother about Manmohan Singh.","‘ Shareef tha voh bechara , ’ say Anupam Kher 's mother about Manmohan Singh ",FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,said⇒say → .⇒<DELETED>,2,FORM-CHG:said→say|C-DEL:PERIOD→ABSENT,True
35,C2H,Interim CBI chief Rao cancelled all the transfer orders made by Alok Verma.,Interim CBI chief Rao cancel all transfer orders made by Alok Verma ,FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,cancelled⇒cancel → the⇒<DELETED> → .⇒<DELETED>,3,FORM-CHG:cancelled→cancel|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
36,C2H,"‘Is deewar ka saaf mann aur hriday bhi hai,’ said Sehwag as he wished Dravid.","‘ Is deewar ka saaf mann aur hriday bhi hai , ’ say Sehwag as he wish Dravid ",FORM-CHG-VERB-LEMMA → FORM-CHG-VERB-LEMMA → C-DEL-PERIOD,said⇒say → wished⇒wish → .⇒<DELETED>,3,FORM-CHG:said→say|FORM-CHG:wished→wish|C-DEL:PERIOD→ABSENT,True
37,C2H,An MP school principal called CM Kamal Nath 'daku' and was suspended.,MP school principal called CM Kamal Nath ' daku ' and was suspended ,FW-DEL-ARTICLE-AN → C-DEL-PERIOD,An⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:an→ABSENT|C-DEL:PERIOD→ABSENT,True
38,C2H,The ISRO chief said that women astronauts are also wanted in the December 2021 space mission.,ISRO chief say that women astronauts are also wanted in December 2021 space mission ,FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,The⇒<DELETED> → said⇒say → the⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:the→ABSENT|FORM-CHG:said→say|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
39,C2H,The UK High Commission has received consular access to Christian Michel.,UK High Commission received consular access to Christian Michel ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True
40,C2H,A Chinese farmer built an Airbus A320 replica to fulfil his childhood dream.,Chinese farmer build Airbus A320 replica to fulfil his childhood dream ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-AN → C-DEL-PERIOD,A⇒<DELETED> → built⇒build → an⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:a→ABSENT|FORM-CHG:built→build|FW-DEL:an→ABSENT|C-DEL:PERIOD→ABSENT,True
41,C2H,The US has begun withdrawal from Syria after ISIS was defeated.,US begun withdrawal from Syria after ISIS was defeated ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True
42,C2H,"Gautam Singhania of Raymond said, ""My dad has hundreds of crores with him.""","Gautam Singhania of Raymond say , "" My dad have hundreds of crores with him . """,FORM-CHG-VERB-LEMMA → FORM-CHG-VERB-LEMMA,said⇒say → has⇒have,2,FORM-CHG:said→say|FORM-CHG:has→have,True
43,C2H,Singapore Airlines fired a pilot for failing a pre-flight alcohol test.,Singapore Airlines fire pilot for failing pre - flight alcohol test ,FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → FW-DEL-ARTICLE-A → C-DEL-PERIOD,fired⇒fire → a⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,4,FORM-CHG:fired→fire|FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
44,C2H,"Rhea Kapoor will marry her rumoured boyfriend Karan Boolani, according to a report.","Rhea Kapoor marry her rumoured boyfriend Karan Boolani , according to report ",FW-DEL-AUX-WILL → FW-DEL-ARTICLE-A → C-DEL-PERIOD,will⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:will→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
45,C2H,"Ranveer said, ""Being the best entertainer is my single point agenda.""","Ranveer say , "" Being best entertainer is my single point agenda . """,FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE,said⇒say → the⇒<DELETED>,2,FORM-CHG:said→say|FW-DEL:the→ABSENT,True
46,C2H,"Sushant will star in Bhandarkar's 'Inspector Ghalib', according to reports.","Sushant star in Bhandarkar 's ' Inspector Ghalib ' , according to reports ",FW-DEL-AUX-WILL → C-DEL-PERIOD,will⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:will→ABSENT|C-DEL:PERIOD→ABSENT,True
47,C2H,Deepika's battle with depression has been included in a book for kids.,Deepika 's battle with depression been included in book for kids ,FW-DEL-AUX-HAS → FW-DEL-ARTICLE-A → C-DEL-PERIOD,has⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:has→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
48,C2H,"Kangana said, ""Words like jingoism are used for shaming these days.""","Kangana say , "" Words like jingoism are used for shaming these days . """,FORM-CHG-VERB-LEMMA,said⇒say,1,FORM-CHG:said→say,True
49,C2H,Piyush took a jibe at a Congress leader and called him a 'man of consistency'.,Piyush take jibe at Congress leader and call him ' man of consistency ' ,FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → C-DEL-PERIOD,took⇒take → a⇒<DELETED> → a⇒<DELETED> → called⇒call → a⇒<DELETED> → .⇒<DELETED>,6,FORM-CHG:took→take|FW-DEL:a→ABSENT|FW-DEL:a→ABSENT|FORM-CHG:called→call|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
50,C2H,The BCCI has announced the schedule for the T20I and ODI series with Australia at home.,BCCI announced schedule for T20I and ODI series with Australia at home ,FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,The⇒<DELETED> → has⇒<DELETED> → the⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,5,FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
51,C2H,"Sibal said, ""A caged parrot will remain caged,"" about the CBI chief's removal.","Sibal say , "" caged parrot remain caged , "" about CBI chief 's removal ",FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → FW-DEL-AUX-WILL → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,said⇒say → A⇒<DELETED> → will⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,5,FORM-CHG:said→say|FW-DEL:a→ABSENT|FW-DEL:will→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
52,C2H,A BJP leader said that Rahul is crying more than Alok Verma in the CBI matter.,BJP leader say that Rahul crying more than Alok Verma in CBI matter ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-AUX-IS → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,A⇒<DELETED> → said⇒say → is⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,5,FW-DEL:a→ABSENT|FORM-CHG:said→say|FW-DEL:is→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
53,C2H,Gunneswaran is the third Indian in five years to play in a Grand Slam.,Gunneswaran is third Indian in five years to play in Grand Slam ,FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-A → C-DEL-PERIOD,the⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
54,C2H,Kuldeep Singh Rathore has been named chief of the Himachal Congress.,Kuldeep Singh Rathore been named chief of Himachal Congress ,FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,has⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
55,C2H,"Stalin said, ""PM Modi isn't Vajpayee and DMK will never ally with BJP.""","Stalin say , "" PM Modi is n't Vajpayee and DMK never ally with BJP . """,FORM-CHG-VERB-LEMMA → FW-DEL-AUX-WILL,said⇒say → will⇒<DELETED>,2,FORM-CHG:said→say|FW-DEL:will→ABSENT,True
56,C2H,"A man was held for duping 2,000 people using PM Modi's pictures.","man was held for duping 2,000 people using PM Modi 's pictures ",FW-DEL-ARTICLE-A → C-DEL-PERIOD,A⇒<DELETED> → .⇒<DELETED>,2,FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
57,C2H,A report said that the boat carrying Maharashtra officials capsized due to the driver's error.,report say that boat carrying Maharashtra officials capsize due to driver 's error ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,A⇒<DELETED> → said⇒say → the⇒<DELETED> → capsized⇒capsize → the⇒<DELETED> → .⇒<DELETED>,6,FW-DEL:a→ABSENT|FORM-CHG:said→say|FW-DEL:the→ABSENT|FORM-CHG:capsized→capsize|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
58,C2H,A Russian artist was jailed for setting fire to the Bank of France.,Russian artist was jailed for setting fire to Bank of France ,FW-DEL-ARTICLE-A → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,A⇒<DELETED> → the⇒<DELETED> → .⇒<DELETED>,3,FW-DEL:a→ABSENT|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
59,C2H,The Delhi High Court refused to cancel the bribery case against CBI No. 2 Asthana.,Delhi High Court refuse to cancel bribery case against CBI No . 2 Asthana ,FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-THE → C-DEL-PERIOD,The⇒<DELETED> → refused⇒refuse → the⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:the→ABSENT|FORM-CHG:refused→refuse|FW-DEL:the→ABSENT|C-DEL:PERIOD→ABSENT,True
60,C2H,Gurmeet Ram Rahim has been convicted for the murder of a journalist in 2002.,Gurmeet Ram Rahim been convicted for murder of journalist in 2002 ,FW-DEL-AUX-HAS → FW-DEL-ARTICLE-THE → FW-DEL-ARTICLE-A → C-DEL-PERIOD,has⇒<DELETED> → the⇒<DELETED> → a⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:has→ABSENT|FW-DEL:the→ABSENT|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
61,C2H,A scoring error led to a Pakistani batsman getting run out on 499.,scoring error lead to Pakistani batsman getting run out on 499 ,FW-DEL-ARTICLE-A → FORM-CHG-VERB-LEMMA → FW-DEL-ARTICLE-A → C-DEL-PERIOD,A⇒<DELETED> → led⇒lead → a⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:a→ABSENT|FORM-CHG:led→lead|FW-DEL:a→ABSENT|C-DEL:PERIOD→ABSENT,True
62,C2H,The BCCI legal cell said that Pandya and Rahul can be suspended till further action.,BCCI legal cell say that Pandya and Rahul be suspended till further action ,FW-DEL-ARTICLE-THE → FORM-CHG-VERB-LEMMA → FW-DEL-AUX-CAN → C-DEL-PERIOD,The⇒<DELETED> → said⇒say → can⇒<DELETED> → .⇒<DELETED>,4,FW-DEL:the→ABSENT|FORM-CHG:said→say|FW-DEL:can→ABSENT|C-DEL:PERIOD→ABSENT,True
63,C2H,Kohli said that Rahul and Pandya have understood the magnitude of what has happened.,Kohli say that Rahul and Pandya understood magnitude of what happened ,FORM-CHG-VERB-LEMMA → FW-DEL-AUX-HAVE → FW-DEL-ARTICLE-THE → FW-DEL-AUX-HAS → C-DEL-PERIOD,said⇒say → have⇒<DELETED> → the⇒<DELETED> → has⇒<DELETED> → .⇒<DELETED>,5,FORM-CHG:said→say|FW-DEL:have→ABSENT|FW-DEL:the→ABSENT|FW-DEL:has→ABSENT|C-DEL:PERIOD→ABSENT,True
