sentence_id,direction,rule_id,rule_type,source_token,target_token,position,confidence
10,C2H,FW-DEL-AUX-WILL,FW-DEL,will,<DELETED>,4,0.9
10,C2H,FW-DEL-AUX-DO,FW-DEL,do,<DELETED>,12,0.9
10,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,18,0.95
11,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
11,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,jumped,jump,2,0.8
11,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,6,0.95
11,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,15,0.95
12,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,fell,fall,4,0.8
12,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,7,0.95
12,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,11,0.95
13,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,dropped,drop,6,0.8
13,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,15,0.95
14,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,suggested,suggest,1,0.8
14,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,2,0.95
14,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,5,0.95
14,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,toured,tour,11,0.8
14,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,13,0.95
15,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,4,0.9
15,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,10,0.95
16,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,1,0.8
16,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,connect,connect,5,0.8
16,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,10,0.95
17,C2H,FW-DEL-AUX-HAVE,FW-DEL,have,<DELETED>,3,0.9
17,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,7,0.95
17,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,11,0.95
18,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
18,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,14,0.95
19,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,2,0.8
19,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,4,0.95
19,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,9,0.95
19,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,11,0.95
20,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,1,0.95
20,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,8,0.95
20,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
21,C2H,FW-DEL-AUX-HAVE,FW-DEL,have,<DELETED>,3,0.9
21,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,8,0.95
21,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,9,0.95
22,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
22,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,10,0.95
23,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,beat,beat,2,0.8
23,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,9,0.95
23,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,11,0.95
24,C2H,FW-DEL-ARTICLE-AN,FW-DEL,An,<DELETED>,0,0.95
24,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,2,0.9
24,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,4,0.95
24,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,8,0.95
24,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,11,0.95
25,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
25,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,3,0.8
25,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,14,0.95
26,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,2,0.8
26,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,8,0.95
26,C2H,FW-DEL-AUX-SHOULD,FW-DEL,should,<DELETED>,11,0.9
26,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
27,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,2,0.8
27,C2H,FW-DEL-AUX-WILL,FW-DEL,will,<DELETED>,5,0.9
27,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,wins,win,11,0.8
27,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
28,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
28,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,4,0.8
28,C2H,FW-DEL-AUX-IS,FW-DEL,is,<DELETED>,7,0.9
28,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,10,0.95
28,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,13,0.95
29,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,shared,share,2,0.8
29,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,3,0.95
29,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,7,0.95
29,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,11,0.95
30,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,1,0.95
30,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,4,0.95
30,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,8,0.8
30,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,9,0.95
30,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,16,0.95
31,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,7,0.95
31,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,13,0.95
31,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,15,0.95
32,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
32,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,5,0.9
32,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,7,0.95
32,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,refused,refuse,10,0.8
32,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,13,0.95
32,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,16,0.95
33,C2H,FW-DEL-AUX-HAVE,FW-DEL,have,<DELETED>,3,0.9
33,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
34,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,7,0.8
34,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,16,0.95
35,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,cancelled,cancel,4,0.8
35,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,6,0.95
35,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,13,0.95
36,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,12,0.8
36,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,wished,wish,16,0.8
36,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,19,0.95
37,C2H,FW-DEL-ARTICLE-AN,FW-DEL,An,<DELETED>,0,0.95
37,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,14,0.95
38,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
38,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,3,0.8
38,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,11,0.95
38,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,15,0.95
39,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
39,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,4,0.9
39,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,10,0.95
40,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
40,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,built,build,3,0.8
40,C2H,FW-DEL-ARTICLE-AN,FW-DEL,an,<DELETED>,4,0.95
40,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
41,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
41,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,2,0.9
41,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,10,0.95
42,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,4,0.8
42,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,has,have,9,0.8
43,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,fired,fire,2,0.8
43,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,3,0.95
43,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,7,0.95
43,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
44,C2H,FW-DEL-AUX-WILL,FW-DEL,will,<DELETED>,2,0.9
44,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,12,0.95
44,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,13,0.95
45,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,1,0.8
45,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,5,0.95
46,C2H,FW-DEL-AUX-WILL,FW-DEL,will,<DELETED>,1,0.9
46,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,14,0.95
47,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,5,0.9
47,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,9,0.95
47,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
48,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,1,0.8
49,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,took,take,1,0.8
49,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,2,0.95
49,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,5,0.95
49,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,called,call,9,0.8
49,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,11,0.95
49,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,15,0.95
50,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
50,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,2,0.9
50,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,4,0.95
50,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,7,0.95
50,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,13,0.95
51,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,1,0.8
51,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,4,0.95
51,C2H,FW-DEL-AUX-WILL,FW-DEL,will,<DELETED>,7,0.9
51,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,13,0.95
51,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,16,0.95
52,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
52,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,3,0.8
52,C2H,FW-DEL-AUX-IS,FW-DEL,is,<DELETED>,6,0.9
52,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,13,0.95
52,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,14,0.95
53,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,2,0.95
53,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,11,0.95
53,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,13,0.95
54,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,3,0.9
54,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,8,0.95
54,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,10,0.95
55,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,1,0.8
55,C2H,FW-DEL-AUX-WILL,FW-DEL,will,<DELETED>,11,0.9
56,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
56,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,13,0.95
57,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
57,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,2,0.8
57,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,4,0.95
57,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,capsized,capsize,9,0.8
57,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,12,0.95
57,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,14,0.95
58,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
58,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,9,0.95
58,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
59,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
59,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,refused,refuse,4,0.8
59,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,7,0.95
59,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,15,0.95
60,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,3,0.9
60,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,7,0.95
60,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,10,0.95
60,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
61,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
61,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,led,lead,3,0.8
61,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,5,0.95
61,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
62,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
62,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,4,0.8
62,C2H,FW-DEL-AUX-CAN,FW-DEL,can,<DELETED>,9,0.9
62,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,14,0.95
63,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,1,0.8
63,C2H,FW-DEL-AUX-HAVE,FW-DEL,have,<DELETED>,6,0.9
63,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,8,0.95
63,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,12,0.9
63,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
64,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
64,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,2,0.8
64,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,knew,know,11,0.8
64,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,denies,deny,19,0.8
64,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,20,0.95
64,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,22,0.95
65,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,1,0.8
65,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,3,0.95
65,C2H,FW-DEL-AUX-MUST,FW-DEL,must,<DELETED>,7,0.9
65,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
66,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
66,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,3,0.8
66,C2H,FW-DEL-AUX-DO,FW-DEL,do,<DELETED>,10,0.9
66,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,15,0.95
66,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,18,0.95
67,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
67,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,4,0.95
67,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,17,0.95
67,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,17,0.95
68,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,1,0.9
68,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,3,0.95
68,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,8,0.95
68,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,11,0.95
69,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,1,0.8
69,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,3,0.95
69,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,killed,kill,5,0.8
69,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,buried,bury,9,0.8
69,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,12,0.95
69,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,17,0.95
70,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
70,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,3,0.9
70,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,5,0.95
70,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,13,0.95
71,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,1,0.8
71,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,11,0.95
71,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,14,0.95
71,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,19,0.95
72,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
72,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,received,receive,3,0.8
72,C2H,FW-DEL-ARTICLE-AN,FW-DEL,an,<DELETED>,4,0.95
72,C2H,FW-DEL-ARTICLE-AN,FW-DEL,an,<DELETED>,7,0.95
72,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,11,0.95
73,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
73,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,7,0.95
73,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,17,0.95
74,C2H,FW-DEL-AUX-WILL,FW-DEL,will,<DELETED>,3,0.9
74,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,13,0.95
74,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,14,0.95
75,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,6,0.95
75,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,10,0.9
75,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,12,0.95
75,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
76,C2H,FW-DEL-ARTICLE-AN,FW-DEL,An,<DELETED>,0,0.95
76,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,forced,force,3,0.8
76,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,10,0.95
76,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,11,0.95
77,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,suffered,suffer,5,0.8
77,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,6,0.95
77,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,9,0.95
77,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,14,0.95
78,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
78,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,3,0.8
78,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,5,0.95
78,C2H,FW-DEL-AUX-IS,FW-DEL,is,<DELETED>,10,0.9
78,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,15,0.95
79,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,2,0.8
79,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,are,be,6,0.8
79,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,says,say,12,0.8
79,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,listen,listen,14,0.8
80,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,3,0.8
80,C2H,FW-DEL-AUX-DO,FW-DEL,do,<DELETED>,7,0.9
81,C2H,FW-DEL-ARTICLE-A,FW-DEL,A,<DELETED>,0,0.95
81,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,3,0.8
81,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,8,0.95
81,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,works,work,11,0.8
81,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,15,0.95
82,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
82,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,2,0.9
82,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,4,0.95
82,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,13,0.95
83,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
83,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,3,0.9
83,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,5,0.95
83,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,9,0.95
84,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
85,C2H,FW-DEL-ARTICLE-THE,FW-DEL,The,<DELETED>,0,0.95
85,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,2,0.9
85,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,12,0.95
86,C2H,FW-DEL-AUX-HAS,FW-DEL,has,<DELETED>,1,0.9
86,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,14,0.95
87,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,5,0.95
87,C2H,FW-DEL-AUX-WAS,FW-DEL,was,<DELETED>,14,0.9
87,C2H,C-DEL-PERIOD,C-DEL,.,<DELETED>,15,0.95
88,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,said,say,1,0.8
88,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,means,mean,3,0.8
88,C2H,FW-DEL-ARTICLE-A,FW-DEL,a,<DELETED>,4,0.95
88,C2H,FORM-CHG-VERB-LEMMA,FORM-CHG,thanked,thank,7,0.8
88,C2H,FW-DEL-ARTICLE-THE,FW-DEL,the,<DELETED>,11,0.95
