sentence_id,source_headline,generated_canonical,rules_applied_count,events_triggered,success,error
31,Canada and Australia in talks with UN to grant asylum to Saudi girl,Canada and Australia in talks with UN to grant asylum to Saudi girl.,1,C-ADD:ABSENT→PERIOD,True,
32,Ex-CBI chief quits IPS and refuses to take role of DG Fire Services,An Ex - CBI chief quits IPS and refuses to take role of DG Fire Services.,2,FW-ADD:ABSENT→an|C-ADD:ABSENT→PERIOD,True,
33,Pandya and Rahul suspended pending inquiry over comments on women,Pandya and Rahul suspended pending inquiry over comments on women.,1,C-ADD:ABSENT→PERIOD,True,
34,‘Shareef tha voh bechara’says Anupam Kher's mother on Manmohan Singh,‘ Shareef tha voh bechara’says Anupam Kher 's mother on Manmohan Singh.,1,C-ADD:ABSENT→PERIOD,True,
35,Interim CBI chief Rao cancels all the transfer orders by Alok Verma,Interim CBI chief Rao cancels all the transfer orders by Alok Verma.,1,C-ADD:ABSENT→PERIOD,True,
36,‘Is deewar ka saaf mann aur hriday bhi hai’says Sehwag wishes Dravid,‘ Is deewar ka saaf mann aur hriday bhi hai’says Sehwag wishes Dravid.,1,C-ADD:ABSENT→PERIOD,True,
37,MP school principal calls CM Kamal Nath 'daku'so suspended,MP school principal calls CM Kamal Nath ' daku'so suspended.,1,C-ADD:ABSENT→PERIOD,True,
38,ISRO wants women astronauts also in Dec 2021 space mission says Chief,An ISRO wants women astronauts also in Dec 2021 space mission says Chief.,2,FW-ADD:ABSENT→an|C-ADD:ABSENT→PERIOD,True,
39,UK High Commission gets consular access to Christian Michel,UK High Commission gets consular access to Christian Michel.,1,C-ADD:ABSENT→PERIOD,True,
40,Chinese farmer builds Airbus A320 replica to fulfil childhood dream,Chinese farmer builds Airbus A320 replica to fulfil childhood dream.,1,C-ADD:ABSENT→PERIOD,True,
41,US begins withdrawal from Syria after ISIS'was defeated,US begins withdrawal from Syria after ISIS'was defeated.,1,C-ADD:ABSENT→PERIOD,True,
42,My dad has hundreds of crores with him says Raymond's Gautam Singhania,My dad has hundreds of crores with him says Raymond 's Gautam Singhania.,1,C-ADD:ABSENT→PERIOD,True,
43,Singapore Airlines fires pilot for failing pre-flight alcohol test,Singapore Airlines fires pilot for failing pre - flight alcohol test.,1,C-ADD:ABSENT→PERIOD,True,
44,Rhea Kapoor to marry rumoured boyfriend Karan Boolani says Report,Rhea Kapoor to marry rumoured boyfriend Karan Boolani says Report.,1,C-ADD:ABSENT→PERIOD,True,
45,Being best entertainer is my single point agenda says Ranveer,Being best entertainer is my single point agenda says Ranveer.,1,C-ADD:ABSENT→PERIOD,True,
46,Sushant to star in Bhandarkar's 'Inspector Ghalib'says Reports,Sushant to star in Bhandarkar 's ' Inspector Ghalib'says Reports.,1,C-ADD:ABSENT→PERIOD,True,
47,Deepika's battle with depression included in book for kids,Deepika 's battle with depression included in book for kids.,1,C-ADD:ABSENT→PERIOD,True,
48,Words like jingoism are used for shaming these days says Kangana,Words like jingoism are used for shaming these days says Kangana.,1,C-ADD:ABSENT→PERIOD,True,
49,Piyush takes jibe at Cong leader and calls him 'man of consistency',Piyush takes jibe at Cong leader and calls him ' man of consistency '.,1,C-ADD:ABSENT→PERIOD,True,
50,BCCI announces schedule for T20I and ODI series with Aus at home,BCCI announces schedule for T20I and ODI series with Aus at home.,1,C-ADD:ABSENT→PERIOD,True,
51,Caged parrot will remain caged says Sibal on CBI chief's removal,Caged parrot will remain caged says Sibal on CBI chief 's removal.,1,C-ADD:ABSENT→PERIOD,True,
52,Rahul crying more than Alok Verma in CBI matter says BJP Leader,Rahul crying more than Alok Verma in CBI matter says BJP Leader.,1,C-ADD:ABSENT→PERIOD,True,
53,Gunneswaran is the 3rd Indian in 5 yrs to play in a Grand Slam,Gunneswaran is the 3rd Indian in 5 yrs to play in a Grand Slam.,1,C-ADD:ABSENT→PERIOD,True,
54,Kuldeep Singh Rathore named as chief of Himachal Congress,Kuldeep Singh Rathore named as chief of Himachal Congress.,1,C-ADD:ABSENT→PERIOD,True,
55,PM Modi isn't Vajpayee and DMK we will never ally with BJP says Stalin,A PM Modi is n't Vajpayee and DMK we will never ally with BJP says Stalin.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
56,"Man held for duping 2,000 people using PM Modi's pics","Man held for duping 2,000 people using PM Modi 's pics.",1,C-ADD:ABSENT→PERIOD,True,
57,Driver's error capsized the boat carrying Maha officials says Report,A Driver 's error capsized the boat carrying Maha officials says Report.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
58,Russian artist jailed for setting fire to the Bank of France,Russian artist jailed for setting fire to the Bank of France.,1,C-ADD:ABSENT→PERIOD,True,
59,Delhi HC refuses to cancel bribery case against CBI No. 2 Asthana,Delhi HC refuses to cancel bribery case against CBI No . 2 Asthana.,1,C-ADD:ABSENT→PERIOD,True,
60,Gurmeet Ram Rahim convicted for the murder of journalist in 2002,Gurmeet Ram Rahim convicted for the murder of journalist in 2002.,1,C-ADD:ABSENT→PERIOD,True,
61,Scoring error led to Pakistani batsman getting run-out on 499,A Scoring error led to Pakistani batsman getting run - out on 499.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
62,Pandya and Rahul can be suspended till further action says BCCI legal cell,Pandya and Rahul can be suspended till further action says BCCI legal cell.,1,C-ADD:ABSENT→PERIOD,True,
63,Rahul and Pandya have understood magnitude of what's happened says Kohli,Rahul and Pandya have understood magnitude of what 's happened says Kohli.,1,C-ADD:ABSENT→PERIOD,True,
64,"Her eyes were open and she knew it was me says Cricketer,cricketer denies rape charge","Her eyes were open and she knew it was me says Cricketer , cricketer denies rape charge.",1,C-ADD:ABSENT→PERIOD,True,
65,riot culprits must be punished regardless of identity says Rahul,A riot culprits must be punished regardless of identity says Rahul.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
66,Keep trying and miracles do happen says SC on Meghalaya mine rescue effort,Keep trying and miracles do happen says SC on Meghalaya mine rescue effort.,1,C-ADD:ABSENT→PERIOD,True,
67,Mutilated body of 15-yr-old WB girl found hanging from tree,Mutilated body of 15 - yr - old WB girl found hanging from tree.,1,C-ADD:ABSENT→PERIOD,True,
68,Chhattisgarh becomes 3rd state to bar CBI from probing cases,A Chhattisgarh becomes 3rd state to bar CBI from probing cases.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
69,Man killed nephew and buried him in balcony and planted saplings says Police,A Man killed nephew and buried him in balcony and planted saplings says Police.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
70,Myanmar court rejects appeal by Reuters and journos jailed for 7 years,Myanmar court rejects appeal by Reuters and journos jailed for 7 years.,1,C-ADD:ABSENT→PERIOD,True,
71,We're with you says Trump to kin of murdered Indian-origin policeman,We 're with you says Trump to kin of murdered Indian - origin policeman.,1,C-ADD:ABSENT→PERIOD,True,
72,Greek university gets envelope containing 'irritant' from India,Greek university gets envelope containing ' irritant ' from India.,1,C-ADD:ABSENT→PERIOD,True,
73,Rare 1 cent coin found by US teen in 1947 auctioned for ₹1.4 crore,Rare 1 cent coin found by US teen in 1947 auctioned for ₹ 1.4 crore.,1,C-ADD:ABSENT→PERIOD,True,
74,Alia and Ranbir to get engaged post Brahmastra's release says Report,Alia and Ranbir to get engaged post Brahmastra 's release says Report.,1,C-ADD:ABSENT→PERIOD,True,
75,Vicky Kaushal's 'Uri: The Surgical Strike' hits the theatres,Vicky Kaushal 's ' Uri : The Surgical Strike ' hits the theatres.,1,C-ADD:ABSENT→PERIOD,True,
76,Elbow injury forces Steve Smith to return home from BPL,An Elbow injury forces Steve Smith to return home from BPL.,2,FW-ADD:ABSENT→an|C-ADD:ABSENT→PERIOD,True,
77,Barcelona without barcelona suffer loss in Copa Del Rey first leg,Barcelona without barcelona suffer loss in Copa Del Rey first leg.,1,C-ADD:ABSENT→PERIOD,True,
78,Congress govt in MP is running at our ‘mercy’ says BJP leader,Congress govt in MP is running at our ‘ mercy ’ says BJP leader.,1,C-ADD:ABSENT→PERIOD,True,
79,There are Certain things that PM Modi says I listen to says Rahul Gandhi,There are Certain things that PM Modi says I listen to says Rahul Gandhi.,1,C-ADD:ABSENT→PERIOD,True,
80,I don't know Manmohan Singh's caste says Ram Vilas Paswan,I do n't know Manmohan Singh 's caste says Ram Vilas Paswan.,1,C-ADD:ABSENT→PERIOD,True,
81,"PM Modi is a dictator and works like Hitler, Putin says Cong leader","A PM Modi is a dictator and works like Hitler , Putin says Cong leader.",2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
82,Centre launches 5-yr plan to combat pollution in 102 cities,A Centre launches 5 - yr plan to combat pollution in 102 cities.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
83,Karnataka govt approves suburban rail project for B'luru,Karnataka govt approves suburban rail project for B'luru.,1,C-ADD:ABSENT→PERIOD,True,
84,Foreign currency worth ₹38 lakh was seized at Hyderabad Airport,Foreign currency worth ₹ 38 lakh was seized at Hyderabad Airport.,1,C-ADD:ABSENT→PERIOD,True,
85,Cabinet approves 3 new AIIMS at Gujarat and ‘Jammu and Kashmir’,Cabinet approves 3 new AIIMS at Gujarat and ‘ Jammu and Kashmir ’.,1,C-ADD:ABSENT→PERIOD,True,
86,Hotstar takes down Pandya and Rahul's ‘Koffee With Karan’ episode,Hotstar takes down Pandya and Rahul 's ‘ Koffee With Karan ’ episode.,1,C-ADD:ABSENT→PERIOD,True,
87,Rajinikanth fans get married at TN theatre while running his film 'Petta',Rajinikanth fans get married at TN theatre while running his film ' Petta '.,1,C-ADD:ABSENT→PERIOD,True,
88,Means a lot says Pujara and thanks Viv Richards for congratulatory message,Means a lot says Pujara and thanks Viv Richards for congratulatory message.,1,C-ADD:ABSENT→PERIOD,True,
89,Australia to don 1986-inspired green and gold kit in ODIs versus India,Australia to don 1986 - inspired green and gold kit in ODIs versus India.,1,C-ADD:ABSENT→PERIOD,True,
90,Sad I was transferred based on false allegations says Alok Verma,Sad I was transferred based on false allegations says Alok Verma.,1,C-ADD:ABSENT→PERIOD,True,
91,Pujara watches ball closely than even Dravid and Sachin says Justin Langer,Pujara watches ball closely than even Dravid and Sachin says Justin Langer.,1,C-ADD:ABSENT→PERIOD,True,
92,US police issued a warrant for Ronaldo's DNA in rape investigation,US police issued a warrant for Ronaldo 's DNA in rape investigation.,1,C-ADD:ABSENT→PERIOD,True,
93,Hosts ‘UAE’ hand India their first defeat of Asian Cup 2019,Hosts ‘ UAE ’ hand India their first defeat of Asian Cup 2019.,1,C-ADD:ABSENT→PERIOD,True,
94,Murray breaks down and says Australian Open could be his last event,Murray breaks down and says Australian Open could be his last event.,1,C-ADD:ABSENT→PERIOD,True,
95,Mary Kom becomes the world number one woman boxer in 48-kg category,Mary Kom becomes the world number one woman boxer in 48 - kg category.,1,C-ADD:ABSENT→PERIOD,True,
96,Robotic sex toy wins CES innovation award but  taken back later,Robotic sex toy wins CES innovation award but   taken back later.,1,C-ADD:ABSENT→PERIOD,True,
97,male nurse leaves head inside as Baby decapitated in failed delivery,male nurse leaves head inside as Baby decapitated in failed delivery.,1,C-ADD:ABSENT→PERIOD,True,
98,"Police burn body with waste and kept ₹2,700 given for proper cremation","Police burn body with waste and kept ₹ 2,700 given for proper cremation.",1,C-ADD:ABSENT→PERIOD,True,
99,Pilot 'lands' helicopter on its nose to rescue skier and the video viral,Pilot ' lands ' helicopter on its nose to rescue skier and the video viral.,1,C-ADD:ABSENT→PERIOD,True,
100,Raymond chief Gautam Singhania to quit from all group companies,Raymond chief Gautam Singhania to quit from all group companies.,1,C-ADD:ABSENT→PERIOD,True,
101,I wish him luck and it's going to be a beauty says Trump on Bezos' divorce,I wish him luck and it 's going to be a beauty says Trump on Bezos ' divorce.,1,C-ADD:ABSENT→PERIOD,True,
102,Sunil Grover's 'Kanpur Waale Khuranas' to go off air,Sunil Grover 's ' Kanpur Waale Khuranas ' to go off air.,1,C-ADD:ABSENT→PERIOD,True,
103,Anupam Kher's 'The Accidental Prime Minister' hits theatres,Anupam Kher 's ' The Accidental Prime Minister ' hits theatres.,1,C-ADD:ABSENT→PERIOD,True,
104,PM can't sleep says Rahul on Alok Verma's removal as CBI chief,PM ca n't sleep says Rahul on Alok Verma 's removal as CBI chief.,1,C-ADD:ABSENT→PERIOD,True,
105,Google limit on ‘right to be forgotten’ was supported in Europe,Google limit on ‘ right to be forgotten ’ was supported in Europe.,1,C-ADD:ABSENT→PERIOD,True,
106,"Tata Motors-owned Jaguar Land Rover to slash 4,500 jobs","Tata Motors - owned Jaguar Land Rover to slash 4,500 jobs.",1,C-ADD:ABSENT→PERIOD,True,
107,Rolls-Royce warns Brexit and it could bring production to a halt,Rolls - Royce warns Brexit and it could bring production to a halt.,1,C-ADD:ABSENT→PERIOD,True,
108,Scientists find a protein to make mosquito birth control drug,Scientists find a protein to make mosquito birth control drug.,1,C-ADD:ABSENT→PERIOD,True,
109,Star-producing quasar brighter than 600 trillion Suns was found,A Star - producing quasar brighter than 600 trillion Suns was found.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
110,Star-eating black hole found spinning at half of light’s speed,A Star - eating black hole found spinning at half of light ’s speed.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
111,Iran says it will not comply with the illegal US sanctions,Iran says it will not comply with the illegal US sanctions.,1,C-ADD:ABSENT→PERIOD,True,
112,Maduro sworn in as Venezuela President for 2nd term amid economic crisis,Maduro sworn in as Venezuela President for 2nd term amid economic crisis.,1,C-ADD:ABSENT→PERIOD,True,
113,‘Ghar pe TV nai hai kya’ idiot says Jadeja to fan criticising his batting,‘ Ghar pe TV nai hai kya ’ idiot says Jadeja to fan criticising his batting.,1,C-ADD:ABSENT→PERIOD,True,
114,MS Dhoni is like a guiding light for Team India says Rohit Sharma,MS Dhoni is like a guiding light for Team India says Rohit Sharma.,1,C-ADD:ABSENT→PERIOD,True,
115,Met Sangeeta in ad shoot in 1985 and it was love at first sight says Azhar,Met Sangeeta in ad shoot in 1985 and it was love at first sight says Azhar.,1,C-ADD:ABSENT→PERIOD,True,
116,₹1.35 cr seized and 83 arrested in tennis match-fixing probe in Spain,₹ 1.35 cr seized and 83 arrested in tennis match - fixing probe in Spain.,1,C-ADD:ABSENT→PERIOD,True,
117,"NASA spacecraft captures Earth, Moon and asteroid in single pic","NASA spacecraft captures Earth , Moon and asteroid in single pic.",1,C-ADD:ABSENT→PERIOD,True,
118,Desperate move to stop FIR against PM says Bhushan on CBI chief removal,Desperate move to stop FIR against PM says Bhushan on CBI chief removal.,1,C-ADD:ABSENT→PERIOD,True,
119,Women thrashes harasser and take him home to apologise in front of his wife,Women thrashes harasser and take him home to apologise in front of his wife.,1,C-ADD:ABSENT→PERIOD,True,
120,Chinese pilot suspended and fined ₹1 lakh for allowing wife in the cockpit,Chinese pilot suspended and fined ₹ 1 lakh for allowing wife in the cockpit.,1,C-ADD:ABSENT→PERIOD,True,
121,If Bezos' wealth is split equally then his wife will be richest woman,If Bezos ' wealth is split equally then his wife will be richest woman.,1,C-ADD:ABSENT→PERIOD,True,
122,Taking over 'Housefull 4' wasn't tough says Director Farhad,Taking over ' Housefull 4 ' was n't tough says Director Farhad.,1,C-ADD:ABSENT→PERIOD,True,
123,Lady Gaga to take down song with sexual abuse and accused singer,Lady Gaga to take down song with sexual abuse and accused singer.,1,C-ADD:ABSENT→PERIOD,True,
124,SC denies urgent hearing on plea against 'The Accidental...',SC denies urgent hearing on plea against ' The Accidental ... '.,1,C-ADD:ABSENT→PERIOD,True,
125,Timely conversations says Karan and shares pic from B'wood meet with PM,Timely conversations says Karan and shares pic from B'wood meet with PM.,1,C-ADD:ABSENT→PERIOD,True,
126,Actress' sexual harassment claim against Weinstein was dismissed,Actress ' sexual harassment claim against Weinstein was dismissed.,1,C-ADD:ABSENT→PERIOD,True,
127,Bloodied seal with plastic net around its neck was seen at an UK beach,Bloodied seal with plastic net around its neck was seen at an UK beach.,1,C-ADD:ABSENT→PERIOD,True,
128,"BJP appoints Chouhan, Raje and Singh as its party's national VPs","BJP appoints Chouhan , Raje and Singh as its party 's national VPs.",1,C-ADD:ABSENT→PERIOD,True,
129,Rahul respects women and holds them in high regard says Shinde,A Rahul respects women and holds them in high regard says Shinde.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
130,Elon Musk claims that new Tesla Roadster will float above the ground,Elon Musk claims that new Tesla Roadster will float above the ground.,1,C-ADD:ABSENT→PERIOD,True,
131,Biodegradable sensor to monitor blood flow in arteries was made,Biodegradable sensor to monitor blood flow in arteries was made.,1,C-ADD:ABSENT→PERIOD,True,
132,Hubble Space Telescope's main camera shuts down says NASA,Hubble Space Telescope 's main camera shuts down says NASA.,1,C-ADD:ABSENT→PERIOD,True,
133,Users over 65yrs more likely to share fake news on FB says Study,Users over 65yrs more likely to share fake news on FB says Study.,1,C-ADD:ABSENT→PERIOD,True,
134,CBSE introduces 2 Mathematics levels for class 10 students,CBSE introduces 2 Mathematics levels for class 10 students.,1,C-ADD:ABSENT→PERIOD,True,
135,Taliban kills 32 members of Afghan security forces and militias,Taliban kills 32 members of Afghan security forces and militias.,1,C-ADD:ABSENT→PERIOD,True,
136,Pak cyberstalker was jailed for harassing 200 lady doctors and nurses,Pak cyberstalker was jailed for harassing 200 lady doctors and nurses.,1,C-ADD:ABSENT→PERIOD,True,
137,Russian hunter shoots his son dead after mistaking him for a moose,Russian hunter shoots his son dead after mistaking him for a moose.,1,C-ADD:ABSENT→PERIOD,True,
138,"TCS profit rises 24% to record ₹8,105 cr in the December quarter","TCS profit rises 24 % to record ₹ 8,105 cr in the December quarter.",1,C-ADD:ABSENT→PERIOD,True,
139,Won't violate international laws in trade with Iran says Prabhu,Wo n't violate international laws in trade with Iran says Prabhu.,1,C-ADD:ABSENT→PERIOD,True,
140,Verma was removed as CBI chief by PM-led panel and was made the DG of fire services,Verma was removed as CBI chief by PM - led panel and was made the DG of fire services.,1,C-ADD:ABSENT→PERIOD,True,
141,Title of Cheat India was changed to Why Cheat India over CBFC objection,A Title of Cheat India was changed to Why Cheat India over CBFC objection.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
142,Actor Ajith's cut-out falls during milk pouring in TN and 5 were  injured,Actor Ajith 's cut - out falls during milk pouring in TN and 5 were   injured.,1,C-ADD:ABSENT→PERIOD,True,
143,Imran Khan compared Kohli to Sachin at oath-taking function says Raja,Imran Khan compared Kohli to Sachin at oath - taking function says Raja.,1,C-ADD:ABSENT→PERIOD,True,
144,"Kohli India's most valued celebrity brand at ₹1,200 crore says Report","Kohli India 's most valued celebrity brand at ₹ 1,200 crore says Report.",1,C-ADD:ABSENT→PERIOD,True,
145,Australian cricketer drops a catch into his own face and left bloodied,Australian cricketer drops a catch into his own face and left bloodied.,1,C-ADD:ABSENT→PERIOD,True,
146,World will take note of his cry says Chidambaram on IAS Topper who quit,World will take note of his cry says Chidambaram on IAS Topper who quit.,1,C-ADD:ABSENT→PERIOD,True,
147,K'taka auto driver was killed by another driver for charging lower fares,A K'taka auto driver was killed by another driver for charging lower fares.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
148,Tyre killers were damaged due to traffic day after installation in Noida,Tyre killers were damaged due to traffic day after installation in Noida.,1,C-ADD:ABSENT→PERIOD,True,
149,Big B and  Aishwarya were approached for Mani Ratnam film says Report,Big B and   Aishwarya were approached for Mani Ratnam film says Report.,1,C-ADD:ABSENT→PERIOD,True,
150,Salman Khan to start shooting for 'Dabangg 3',Salman Khan to start shooting for ' Dabangg 3 '.,1,C-ADD:ABSENT→PERIOD,True,
151,Sara to star opposite to Varun in 'Coolie No. 1' remake says Report,Sara to star opposite to Varun in ' Coolie No . 1 ' remake says Report.,1,C-ADD:ABSENT→PERIOD,True,
152,FB ex-worker who criticised its data policy joins Apple says Report,A FB ex - worker who criticised its data policy joins Apple says Report.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
153,Apple Maps adds turn-by-turn navigation for Indian users,Apple Maps adds turn - by - turn navigation for Indian users.,1,C-ADD:ABSENT→PERIOD,True,
154,Xiaomi loses $6 billion of market value in just three days,Xiaomi loses $ 6 billion of market value in just three days.,1,C-ADD:ABSENT→PERIOD,True,
155,No chance of going back to Samajwadi Party says Shivpal Yadav,No chance of going back to Samajwadi Party says Shivpal Yadav.,1,C-ADD:ABSENT→PERIOD,True,
156,WB will not contribute 40% funds for the Ayushman scheme says CM,WB will not contribute 40 % funds for the Ayushman scheme says CM.,1,C-ADD:ABSENT→PERIOD,True,
157,He is not against women says Prakash Raj defends Rahul,He is not against women says Prakash Raj defends Rahul.,1,C-ADD:ABSENT→PERIOD,True,
158,China offers Tesla CEO Elon Musk permanent residency,China offers Tesla CEO Elon Musk permanent residency.,1,C-ADD:ABSENT→PERIOD,True,
159,Jailed ex-Nissan chief down with fever so interrogation halted,Jailed ex - Nissan chief down with fever so interrogation halted.,1,C-ADD:ABSENT→PERIOD,True,
160,1st proof of white dwarf stars turning into crystals was found,1st proof of white dwarf stars turning into crystals was found.,1,C-ADD:ABSENT→PERIOD,True,
161,Airport-like lounges at New Delhi railway station to be built by March,An Airport - like lounges at New Delhi railway station to be built by March.,2,FW-ADD:ABSENT→an|C-ADD:ABSENT→PERIOD,True,
162,Sri Lanka struggling to pay foreign debt of $5.9 billion says PM,Sri Lanka struggling to pay foreign debt of $ 5.9 billion says PM.,1,C-ADD:ABSENT→PERIOD,True,
163,33-foot tunnel used to smuggle drugs found near US-Mexico border,33 - foot tunnel used to smuggle drugs found near US - Mexico border.,1,C-ADD:ABSENT→PERIOD,True,
164,Trump misspells 'forest' as he cuts funds to tackle the California fire,A Trump misspells ' forest ' as he cuts funds to tackle the California fire.,2,FW-ADD:ABSENT→a|C-ADD:ABSENT→PERIOD,True,
165,GST Council hikes composition scheme was limited to ₹1.5 crore,GST Council hikes composition scheme was limited to ₹ 1.5 crore.,1,C-ADD:ABSENT→PERIOD,True,
166,RBI accountable to government says Reserves panel Chairman,RBI accountable to government says Reserves panel Chairman.,1,C-ADD:ABSENT→PERIOD,True,
167,Former CM Sheila Dikshit takes over as Delhi Congress chief,Former CM Sheila Dikshit takes over as Delhi Congress chief.,1,C-ADD:ABSENT→PERIOD,True,
168,Angad revealed everything meant to be hidden on my show says Neha,Angad revealed everything meant to be hidden on my show says Neha.,1,C-ADD:ABSENT→PERIOD,True,
169,Paid campaigners were used to give #MeToo movement a burst says Sushant,Paid campaigners were used to give # MeToo movement a burst says Sushant.,1,C-ADD:ABSENT→PERIOD,True,
170,CBI DIG who probed Asthana offers is going to quit investigation says PTI,CBI DIG who probed Asthana offers is going to quit investigation says PTI.,1,C-ADD:ABSENT→PERIOD,True,
171,Hardik innocent boy and wanted to entertain says Father on talk show row,Hardik innocent boy and wanted to entertain says Father on talk show row.,1,C-ADD:ABSENT→PERIOD,True,
