feature,pos,headline_value,canonical_value,frequency,context,rule_description
Mood,VERB,Imp,ABSENT,502,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Mood=Imp, change to ABSENT"
Mood,PROPN,ABSENT,Ind,60,"{""dep_rel"": ""root"", ""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Mood=ABSENT, change to Ind"
Mood,NOUN,ABSENT,Ind,58,"{""dep_rel"": ""compound"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Mood=ABSENT, change to Ind"
Mood,VERB,ABSENT,Ind,31,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Mood=ABSENT, change to Ind"
Person,VERB,1,ABSENT,389,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Person=1, change to ABSENT"
Person,VERB,3,ABSENT,207,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Person=3, change to ABSENT"
Person,VERB,2,ABSENT,74,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Person=2, change to ABSENT"
Person,PROPN,ABSENT,3,60,"{""dep_rel"": ""root"", ""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Person=ABSENT, change to 3"
Person,NOUN,ABSENT,3,58,"{""dep_rel"": ""compound"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Person=ABSENT, change to 3"
Person,VERB,ABSENT,3,31,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Person=ABSENT, change to 3"
Tense,VERB,Past,ABSENT,809,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Tense=Past, change to ABSENT"
Tense,VERB,Pres,ABSENT,748,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Tense=Pres, change to ABSENT"
Tense,PROPN,ABSENT,Past,60,"{""dep_rel"": ""root"", ""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Tense=ABSENT, change to Past"
Tense,NOUN,ABSENT,Past,58,"{""dep_rel"": ""compound"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Tense=ABSENT, change to Past"
Tense,PROPN,ABSENT,Pres,34,"{""dep_rel"": ""nsubj"", ""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Tense=ABSENT, change to Pres"
Tense,VERB,ABSENT,Pres,31,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Tense=ABSENT, change to Pres"
VerbForm,VERB,Fin,ABSENT,1139,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has VerbForm=Fin, change to ABSENT"
VerbForm,VERB,Part,ABSENT,885,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has VerbForm=Part, change to ABSENT"
VerbForm,VERB,Inf,ABSENT,394,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""True""}","When VERB has VerbForm=Inf, change to ABSENT"
VerbForm,VERB,Ger,ABSENT,176,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has VerbForm=Ger, change to ABSENT"
VerbForm,PROPN,ABSENT,Fin,60,"{""dep_rel"": ""root"", ""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has VerbForm=ABSENT, change to Fin"
VerbForm,NOUN,ABSENT,Fin,58,"{""dep_rel"": ""compound"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has VerbForm=ABSENT, change to Fin"
VerbForm,NOUN,ABSENT,Inf,55,"{""dep_rel"": ""compound"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has VerbForm=ABSENT, change to Inf"
VerbForm,VERB,Part,Ger,35,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has VerbForm=Part, change to Ger"
VerbForm,PROPN,ABSENT,Part,34,"{""dep_rel"": ""nsubj"", ""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has VerbForm=ABSENT, change to Part"
VerbForm,VERB,Ger,Fin,31,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has VerbForm=Ger, change to Fin"
Degree,ADJ,Pos,ABSENT,841,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Degree=Pos, change to ABSENT"
Degree,PROPN,ABSENT,Pos,507,"{""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Degree=ABSENT, change to Pos"
Degree,NOUN,ABSENT,Pos,197,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Degree=ABSENT, change to Pos"
Degree,VERB,ABSENT,Pos,164,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Degree=ABSENT, change to Pos"
Degree,ADJ,Cmp,Pos,33,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Degree=Cmp, change to Pos"
Degree,ADJ,Sup,ABSENT,30,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Degree=Sup, change to ABSENT"
Degree,NOUN,ABSENT,Cmp,18,"{""dep_rel"": ""compound"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Degree=ABSENT, change to Cmp"
ExtPos,ADJ,ADP,ABSENT,35,"{""dep_rel"": ""advmod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has ExtPos=ADP, change to ABSENT"
ExtPos,PROPN,ABSENT,ADP,34,"{""dep_rel"": ""nsubj"", ""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has ExtPos=ABSENT, change to ADP"
ExtPos,VERB,ADP,ABSENT,32,"{""dep_rel"": ""case"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has ExtPos=ADP, change to ABSENT"
Voice,VERB,Pass,ABSENT,582,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Voice=Pass, change to ABSENT"
Abbr,PROPN,Yes,ABSENT,32,"{""dep_rel"": ""compound"", ""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Abbr=Yes, change to ABSENT"
