newspaper,sentence_id,parse_type,feature_id,feature_name,mnemonic,canonical_value,headline_value,canonical_context,headline_context,deleted_punctuation,position,context,before,after,added_punctuation
Times-of-India,1,constituency,CONST-REM,Constituent Removal,CONST-REM,SBAR-REM,ABSENT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Inf,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Ger,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Inf,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Ger,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Inf,Fin,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Inf,Fin,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Inf,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Ger,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Part,Fin,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Part,Fin,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,TED-SIMPLE,Tree Edit Distance (Simple String-based Distance),TED-SIMP,10,10,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,TED-RTED,Tree Edit Distance (Robust Tree Edit Distance (RTED)),TED-RTED,26,26,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,both,H-TYPE,Headline Type,H-TYPE,,non-fragment,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,12,9,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,36,28,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,3.41,2.36,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,1,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,1.94,1.69,Shah said that the BJP wants to make the Ram mandir but the Congress is creating hurdles.,BJP wants to make Ram mandir but Congress creating hurdles says Shah,,,,,,
Times-of-India,2,dependency,FW-DEL,Function Word Deletion,FW-DEL,ART-DEL,ABSENT,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,cop,root,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,root,mark,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,mark,advcl,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,advcl,amod,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,advmod,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,amod,obj,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,advmod,case,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,obj,det,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,case,amod,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,nmod,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,dependency,HEAD-CHG,Dependency Head Change,HEAD-CHG,3,2,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,dependency,LENGTH-CHG,Sentence Length Change,LENGTH-CHG,14,11,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Part,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,TED-SIMPLE,Tree Edit Distance (Simple String-based Distance),TED-SIMP,10,10,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,TED-ZHANG-SHASHA,Tree Edit Distance (Zhang-Shasha Dynamic Programming),TED-ZSHA,10,10,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,TED-KLEIN,Tree Edit Distance (Klein Memoized Tree Edit Distance),TED-KLEN,11,11,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,TED-RTED,Tree Edit Distance (Robust Tree Edit Distance (RTED)),TED-RTED,13,13,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,both,H-TYPE,Headline Type,H-TYPE,,fragment,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,11,10,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,26,23,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,2.85,2.00,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,2,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,2.08,1.83,Scientists are close to observing the first ever photo of a black hole.,Scientists close to observing first ever photo of a black hole,,,,,,
Times-of-India,3,dependency,FW-DEL,Function Word Deletion,FW-DEL,PRON-PERS-DEL,ABSENT,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,dependency,FW-DEL,Function Word Deletion,FW-DEL,ART-DEL,ABSENT,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,amod,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,amod,nsubj,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj,root,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,root,nmod:poss,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nmod:poss,obj,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,obj,xcomp,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj:pass,case,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,aux:pass,compound,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,acl:relcl,obl,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,dependency,LENGTH-CHG,Sentence Length Change,LENGTH-CHG,14,9,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,CONST-REM,Constituent Removal,CONST-REM,SBAR-REM,ABSENT,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Part,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Part,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Part,Fin,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,TED-SIMPLE,Tree Edit Distance (Simple String-based Distance),TED-SIMP,10,10,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,TED-ZHANG-SHASHA,Tree Edit Distance (Zhang-Shasha Dynamic Programming),TED-ZSHA,17,17,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,TED-KLEIN,Tree Edit Distance (Klein Memoized Tree Edit Distance),TED-KLEN,16,16,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,TED-RTED,Tree Edit Distance (Robust Tree Edit Distance (RTED)),TED-RTED,17,17,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,both,H-TYPE,Headline Type,H-TYPE,,non-fragment,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,11,8,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,27,18,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,2.54,1.75,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,3,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,2.00,1.89,A drunk man killed his daughter who was diagnosed with a heart problem.,Drunk man kills his daughter diagnosed with heart problem,,,,,,
Times-of-India,4,dependency,FW-DEL,Function Word Deletion,FW-DEL,SCONJ-DEL,ABSENT,CM Yogi said that one and a half lakh toilets have been set up in Prayagraj for the Kumbh Mela.,One and half lakh toilets set up in Prayagraj for Kumbh Mela says CM Yogi,,,,,,
Times-of-India,4,dependency,FW-DEL,Function Word Deletion,FW-DEL,ART-DEL,ABSENT,CM Yogi said that one and a half lakh toilets have been set up in Prayagraj for the Kumbh Mela.,One and half lakh toilets set up in Prayagraj for Kumbh Mela says CM Yogi,,,,,,
Times-of-India,4,dependency,FW-DEL,Function Word Deletion,FW-DEL,ART-DEL,ABSENT,CM Yogi said that one and a half lakh toilets have been set up in Prayagraj for the Kumbh Mela.,One and half lakh toilets set up in Prayagraj for Kumbh Mela says CM Yogi,,,,,,
Times-of-India,4,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,CM Yogi said that one and a half lakh toilets have been set up in Prayagraj for the Kumbh Mela.,One and half lakh toilets set up in Prayagraj for Kumbh Mela says CM Yogi,,,,,,
Times-of-India,4,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,CM Yogi said that one and a half lakh toilets have been set up in Prayagraj for the Kumbh Mela.,One and half lakh toilets set up in Prayagraj for Kumbh Mela says CM Yogi,,,,,,
Times-of-India,4,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj,nummod,CM Yogi said that one and a half lakh toilets have been set up in Prayagraj for the Kumbh Mela.,One and half lakh toilets set up in Prayagraj for Kumbh Mela says CM Yogi,,,,,,
