feature,pos,headline_value,canonical_value,frequency,context,rule_description
VerbForm,VERB,Part,Ger,38,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has VerbForm=Part, change to Ger"
Degree,ADJ,Pos,ABSENT,1828,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Degree=Pos, change to ABSENT"
Degree,NOUN,ABSENT,Pos,813,"{""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has Degree=ABSENT, change to Pos"
Degree,PROPN,ABSENT,Pos,757,"{""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Degree=ABSENT, change to Pos"
Degree,VERB,ABSENT,Pos,394,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Degree=ABSENT, change to Pos"
Degree,ADJ,Cmp,ABSENT,98,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Degree=Cmp, change to ABSENT"
Degree,ADJ,Cmp,Pos,37,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Degree=Cmp, change to Pos"
Degree,ADJ,Sup,ABSENT,23,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has Degree=Sup, change to ABSENT"
Voice,VERB,Pass,ABSENT,805,"{""dep_rel"": ""root"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When VERB has Voice=Pass, change to ABSENT"
NumType,ADJ,Ord,ABSENT,103,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has NumType=Ord, change to ABSENT"
NumForm,ADJ,Combi,ABSENT,103,"{""dep_rel"": ""amod"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When ADJ has NumForm=Combi, change to ABSENT"
NumForm,NOUN,Combi,Word,37,"{""dep_rel"": ""compound"", ""is_proper_noun"": ""False"", ""has_aux"": ""False""}","When NOUN has NumForm=Combi, change to Word"
Abbr,PROPN,Yes,ABSENT,30,"{""dep_rel"": ""compound"", ""is_proper_noun"": ""True"", ""has_aux"": ""False""}","When PROPN has Abbr=Yes, change to ABSENT"
