newspaper,sentence_id,parse_type,feature_id,feature_name,mnemonic,canonical_value,headline_value,canonical_context,headline_context,added_punctuation,position,context,before,after,deleted_punctuation
Hindustan-Times,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,compound,obj,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,compound,punct,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,cc,nummod,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nummod,compound,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,compound,appos,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,obj,det,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,det,nmod:unmarked,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,LENGTH-CHG,Sentence Length Change,LENGTH-CHG,15,13,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,CONST-ADD,Constituent Addition,CONST-ADD,ABSENT,SBAR-ADD,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,CLAUSE-TYPE-CHG,Clause Type Change,CLAUSE-TYPE-CHG,Fin,Inf,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,TED-SIMPLE,Tree Edit Distance (Simple String-based Distance),TED-SIMP,10,10,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,TED-ZHANG-SHASHA,Tree Edit Distance (Zhang-Shasha Dynamic Programming),TED-ZSHA,21,21,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,TED-KLEIN,Tree Edit Distance (Klein Memoized Tree Edit Distance),TED-KLEN,13,13,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,TED-RTED,Tree Edit Distance (Robust Tree Edit Distance (RTED)),TED-RTED,18,18,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,both,PUNCT-ADD,Punctuation Addition,PUNCT-ADD,,comma,The government will confer four Padma Vibhushan and fourteen,"er 4 Padma Vibhushan**,** 14 Padma Bhushan aw",comma,32.0,"er 4 Padma Vibhushan**,** 14 Padma Bhushan aw",er 4 Padma Vibhushan,14 Padma Bhushan aw,
Hindustan-Times,1,both,PUNCT-SUBST,Punctuation Substitution,PUNCT-SUBST,and,",",The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,both,H-TYPE,Headline Type,H-TYPE,,fragment,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,8,9,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,25,26,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,3.71,2.25,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,1,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,2.40,1.92,The government will confer four Padma Vibhushan and fourteen Padma Bhushan awards this year.,"Govt to confer 4 Padma Vibhushan, 14 Padma Bhushan awards this year",,,,,,
Hindustan-Times,2,dependency,FW-DEL,Function Word Deletion,FW-DEL,PRON-PERS-DEL,ABSENT,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,FW-DEL,Function Word Deletion,FW-DEL,PRON-PERS-DEL,ABSENT,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,FW-DEL,Function Word Deletion,FW-DEL,PRON-PERS-DEL,ABSENT,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,FW-ADD,Function Word Addition,FW-ADD,ABSENT,SCONJ-ADD,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,C-DEL,Content Word Deletion,C-DEL,ADV-DEL,ABSENT,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,C-ADD,Content Word Addition,C-ADD,ABSENT,NOUN-ADD,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,C-ADD,Content Word Addition,C-ADD,ABSENT,NOUN-ADD,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,FORM-CHG,Surface Form Change,FORM-CHG,asked,asks,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,root,flat,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,case,flat,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nmod:poss,punct,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,amod,root,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,obl,obj,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,advmod,mark,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,iobj,case,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,case,amod,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,FEAT-CHG,Morphological Feature Change (Tense),TENSE-CHG,Tense=Past,Tense=Pres,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,LENGTH-CHG,Sentence Length Change,LENGTH-CHG,13,12,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,constituency,TED-SIMPLE,Tree Edit Distance (Simple String-based Distance),TED-SIMP,10,10,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,constituency,TED-ZHANG-SHASHA,Tree Edit Distance (Zhang-Shasha Dynamic Programming),TED-ZSHA,29,29,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,constituency,TED-KLEIN,Tree Edit Distance (Klein Memoized Tree Edit Distance),TED-KLEN,16,16,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,constituency,TED-RTED,Tree Edit Distance (Robust Tree Edit Distance (RTED)),TED-RTED,27,27,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,both,PUNCT-ADD,Punctuation Addition,PUNCT-ADD,,comma,Yuvraj joked about his married life when Gambhir asked him a,"Haal behaal hai**,** jokes Yuvraj as Gam",comma,15.0,"Haal behaal hai**,** jokes Yuvraj as Gam",Haal behaal hai,jokes Yuvraj as Gam,
Hindustan-Times,2,both,H-STRUCT,Headline Structure,H-STRUCT,,single-line,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,both,H-TYPE,Headline Type,H-TYPE,,non-fragment,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,constituency,TREE-DEPTH-DIFF,Tree Depth Difference,TREE-DEPTH-DIFF,9,8,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,constituency,CONST-COUNT-DIFF,Constituent Count Difference,CONST-COUNT-DIFF,27,24,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,dependency,DEP-DIST-DIFF,Dependency Distance Difference,DEP-DIST-DIFF,3.08,2.18,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,2,constituency,BRANCH-DIFF,Branching Factor Difference,BRANCH-DIFF,1.86,1.92,Yuvraj joked about his married life when Gambhir asked him about it.,"Haal behaal hai, jokes Yuvraj as Gambhir asks about married life",,,,,,
Hindustan-Times,3,dependency,FW-DEL,Function Word Deletion,FW-DEL,SCONJ-DEL,ABSENT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,FW-DEL,Function Word Deletion,FW-DEL,PRON-PERS-DEL,ABSENT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,FW-DEL,Function Word Deletion,FW-DEL,CCONJ-DEL,ABSENT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,FW-DEL,Function Word Deletion,FW-DEL,AUX-DEL,ABSENT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,FW-ADD,Function Word Addition,FW-ADD,ABSENT,PRON-PERS-ADD,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,C-DEL,Content Word Deletion,C-DEL,VERB-DEL,ABSENT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj,vocative,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,flat,punct,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,aux,nsubj,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,root,cop,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,mark,root,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj,advmod,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,cc,nsubj,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,conj,advcl,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,cop,case,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,ccomp,obl,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,advmod,punct,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,nsubj,parataxis,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,DEP-REL-CHG,Dependency Relation Change,DEP-REL-CHG,advcl,flat,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,dependency,LENGTH-CHG,Sentence Length Change,LENGTH-CHG,16,13,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-POST,CONST-POST,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
Hindustan-Times,3,constituency,CONST-MOV,Constituent Movement,CONST-MOV,CONST-FRONT,CONST-FRONT,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them.,"Hardik, Rahul were gracious when I apologised to them: Karan Johar",,,,,,
