headline,reference_canonical,generated_canonical,bleu1,bleu2,bleu4,meteor,rouge1,rouge2,rougeL,chrF,exact_match,length_ratio
Measles outbreaks continue unabated: WHO,"Measles outbreaks continue unabated, says WHO.",Measles outbreaks continue unabated : WHO.,0.6666666666666666,0.5163977794943222,0.21711852081087685,0.625,0.9090909090909091,0.6666666666666665,0.9090909090909091,0.9230769230769231,0.0,1.0
Congress to vote against controversial legislation,The Congress will vote against controversial legislation.,Congress to vote against controversial legislation.,0.7054014374088451,0.5985529678206387,0.4548019047027907,0.7014492753623188,0.7692307692307692,0.5454545454545454,0.7692307692307692,0.9285714285714286,0.0,0.8571428571428571
BJP confident of getting Citizenship Bill passed in RS,The BJP is confident of getting the Citizenship Bill passed in the Rajya Sabha.,BJP confident of getting Citizenship Bill passed in RS.,0.5100030406554957,0.42765055036397903,0.25607970016522746,0.5769675925925926,0.6956521739130435,0.4761904761904762,0.6956521739130435,0.9743589743589743,0.0,0.6428571428571429
Two-year-old poll results unpublished,Poll results from two years ago remain unpublished.,Two - year - old poll results unpublished.,0.5,0.26726124191242434,0.06985342056580097,0.46499999999999997,0.7142857142857143,0.3333333333333333,0.42857142857142855,0.8947368421052632,0.0,1.0
Fear of eviction looms large over tribals in Madhya Pradesh,A fear of eviction looms large over tribals in Madhya Pradesh.,A Fear of eviction looms large over tribals in Madhya Pradesh.,1.0,1.0,1.0,0.9996243425995492,1.0,1.0,1.0,1.0,1.0,1.0
"India, U.S. will conclude trade talks soon, says USISPF chief",The USISPF chief has said that India and the U.S. will conclude trade talks soon.,"India , U.S. will conclude trade talks soon , says USISPF chief.",0.4543004567916529,0.3586893066804784,0.268565108847214,0.4574482854366237,0.7407407407407406,0.56,0.5925925925925926,0.9473684210526316,0.0,0.8
‘BJP-JJP govt. failed to ensure women’s safety’,'BJP-JJP govt. failed to ensure women's safety',‘ BJP - JJP govt . failed to ensure women ’s safety ’.,0.23076923076923078,0.19611613513818407,0.0768968397262906,0.38742690058479534,1.0,1.0,1.0,0.9361702127659574,0.0,1.8571428571428572
"Man arrested for raping, burning minor in Tripura",A man was arrested in Tripura for raping and burning a minor.,"Man arrested for raping , burning minor in Tripura.",0.47768754038252614,0.20684477252128627,0.047821978359283986,0.36443494776828117,0.8,0.2222222222222222,0.6,0.9411764705882353,0.0,0.75
SC judge for quick dispute resolution,A Supreme Court judge has called for quick dispute resolution.,SC judge for quick dispute resolution.,0.4278475991938267,0.3630407264452067,0.2758512992979459,0.5041666666666667,0.625,0.42857142857142855,0.625,0.923076923076923,0.0,0.6
Haryana teen ‘gang-raped’ twice in three months,A teenager in Haryana was gang-raped twice in three months.,A Haryana teen ‘ gang - raped ’ twice in three months.,0.5,0.3692744729379982,0.23462350320528,0.5514705882352942,0.7999999999999999,0.5555555555555556,0.7999999999999999,0.9473684210526316,0.0,1.2
Brokers raided for fraudulent trades,Brokers were raided for fraudulent trades.,Brokers raided for fraudulent trades.,0.8187307530779819,0.7090416310250969,0.5789300674674098,0.8203389830508474,0.9090909090909091,0.6666666666666665,0.9090909090909091,0.967741935483871,0.0,0.8333333333333334
Mob attacks accused in Walayar rape case,A mob attacked the accused in the Walayar rape case.,A Mob attacks accused in Walayar rape case.,0.6814506851874793,0.5506953149031837,0.1573579057250069,0.7948022959183674,0.888888888888889,0.6250000000000001,0.888888888888889,0.9743589743589743,0.0,0.8
"Priyanka, Akhilesh link Unnao accused to BJP",Priyanka and Akhilesh have linked the Unnao accused to the BJP.,"Priyanka , Akhilesh link Unnao accused to BJP.",0.5154669590932291,0.31815311433143145,0.1123589211070729,0.5349990463475109,0.7777777777777778,0.25,0.7777777777777778,0.9500000000000001,0.0,0.7272727272727273
NRI businessman detained in Kashmir released for 3 months,An NRI businessman detained in Kashmir has been released for three months.,NRI businessman detained in Kashmir released for 3 months.,0.6369167205100349,0.5340709061500022,0.38031419580869896,0.7650100242692836,0.761904761904762,0.5263157894736842,0.761904761904762,0.9714285714285714,0.0,0.75
"Family opts for burial, memorial to be set up",The family has opted for burial and a memorial will be set up.,"A Family opts for burial , memorial to be set up.",0.6063657586001313,0.38944545984787005,0.11000410247236794,0.6428433641975309,0.7826086956521738,0.380952380952381,0.6956521739130435,0.8571428571428572,0.0,0.8461538461538461
Fund misuse is being probed: Culture Ministry,The Culture Ministry has said that fund misuse is being probed.,A Fund misuse is being probed : Culture Ministry.,0.44485411273156,0.36548494851303226,0.25271148634948987,0.4481481481481482,0.7368421052631579,0.588235294117647,0.5263157894736842,0.9500000000000001,0.0,0.8181818181818182
4 minors held for rape in Bulandshahr,Four minors have been held for rape in Bulandshahr.,4 minors held for rape in Bulandshahr.,0.6441233940645307,0.568063438111202,0.4835447404743731,0.7861781076066792,0.75,0.5714285714285715,0.75,0.9411764705882353,0.0,0.7777777777777778
‘Arrest spree was to foil Jammu bandh’,It has been stated that the arrest spree was intended to foil the Jammu bandh.,‘ Arrest spree was to foil Jammu bandh ’.,0.3422780793550613,0.256708559516296,0.08019421212222275,0.39062499999999994,0.6363636363636364,0.4,0.6363636363636364,0.9500000000000001,0.0,0.6
Infantry colours,Infantry colours,An Infantry colours.,0.3333333333333333,0.12909944487358058,0.11362193664674995,0.2380952380952381,0.8,0.6666666666666666,0.8,0.9600000000000001,0.0,1.5
ED attaches assets in bank loan fraud case,The Enforcement Directorate has attached assets in a bank loan fraud case.,ED attaches assets in bank loan fraud case.,0.45489799478447507,0.39706752277780644,0.2493651438887133,0.5964109781843773,0.7000000000000001,0.5555555555555556,0.7000000000000001,0.9714285714285714,0.0,0.6666666666666666
Lawyers thrash rape accused in Indore,Lawyers thrashed a rape accused in Indore.,Lawyers thrash rape accused in Indore.,0.7054014374088451,0.5985529678206387,0.4548019047027907,0.8534621578099838,0.923076923076923,0.7272727272727272,0.923076923076923,1.0,0.0,0.8571428571428571
"‘Free legal aid, technology are levellers’",It has been stated that free legal aid and technology are levellers.,"‘ Free legal aid , technology are levellers ’.",0.3980729503187718,0.327050301633337,0.10693319442988289,0.41367521367521376,0.6666666666666666,0.5000000000000001,0.6666666666666666,0.8947368421052632,0.0,0.75
Rape victim faces acid attack,A rape victim has faced an acid attack.,A Rape victim faces acid attack.,0.5971094254781577,0.5066641486392106,0.18204651199034363,0.7211538461538461,0.8571428571428571,0.5,0.8571428571428571,0.9333333333333333,0.0,0.75
‘Sanitation has become a social movement’,It has been stated that sanitation has become a social movement.,‘ Sanitation has become a social movement ’.,0.42955579924435766,0.41073390444988606,0.355310106137518,0.4654205607476635,0.7058823529411764,0.6666666666666666,0.7058823529411764,0.9032258064516129,0.0,0.7272727272727273
Court refuses to cancel warrant against Choksi,The court has refused to cancel the warrant against Choksi.,A Court refuses to cancel warrant against Choksi.,0.5841005873035536,0.44153854132913556,0.1409020089952245,0.6861724281549355,0.7777777777777777,0.5,0.7777777777777777,0.9714285714285714,0.0,0.8
Chidambaram predicts increase in GST rates,Chidambaram has predicted an increase in GST rates.,Chidambaram predicts increase in GST rates.,0.5971094254781577,0.5066641486392106,0.38498150077635496,0.7211538461538461,0.8571428571428571,0.5,0.8571428571428571,1.0,0.0,0.75
Amarinder orders probe into politicians-gangsters nexus,Amarinder has ordered a probe into the politicians-gangsters nexus.,Amarinder orders probe into politicians - gangsters nexus.,0.4412484512922977,0.23585721816862673,0.06164542728425844,0.4179775280898876,0.8235294117647058,0.4,0.8235294117647058,0.9743589743589743,0.0,0.8888888888888888
Tribal girl raped by headmistress’ husband at Odisha,A tribal girl was raped by the husband of a headmistress at Odisha.,Tribal girl raped by headmistress ’ husband at Odisha.,0.5699381230488485,0.3701856698591431,0.060518421803175584,0.5574156746031746,0.761904761904762,0.3157894736842105,0.6666666666666667,0.9230769230769231,0.0,0.6923076923076923
Case against Paswan over onion prices,A case has been filed against Paswan over onion prices.,A Case against Paswan over onion prices.,0.6514390575310556,0.5946797777494414,0.4606369751099829,0.7132337471070903,0.8235294117647058,0.6666666666666667,0.8235294117647058,0.8484848484848484,0.0,0.7
Statue of Unity overtakes Statue of Liberty,The Statue of Unity has overtaken the Statue of Liberty.,Statue of Unity overtakes Statue of Liberty.,0.558376335026619,0.4924416401547061,0.17910771003824177,0.6071019473081329,0.7058823529411764,0.5333333333333333,0.7058823529411764,0.9696969696969697,0.0,0.7
tamil nadu,tamil nadu,tamil nadu.,0.5,0.223606797749979,0.1495348781221221,0.25,1.0,1.0,1.0,0.9411764705882353,0.0,1.0
chennai,chennai,chennai.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.923076923076923,0.0,1.0
‘Centre looking to jack up GST rates to meet budgetary deficit’,It has been said that the Centre is looking to jack up GST rates to meet the budgetary deficit.,‘ Centre looking to jack up GST rates to meet budgetary deficit ’.,0.48485629738209224,0.4222241925121804,0.37280514366878625,0.536141304347826,0.7333333333333334,0.5714285714285714,0.7333333333333334,0.9333333333333332,0.0,0.6842105263157895
Onion prices hit a record Rs. 160/kg,Onion prices have hit a record Rs. 160 per kg.,An Onion prices hit a record Rs . 160 / kg.,0.6363636363636364,0.43693144875265144,0.12760671487807074,0.6284097797534854,0.8421052631578948,0.5882352941176471,0.8421052631578948,0.9473684210526315,0.0,1.1
Light to moderate rains likely today,Light to moderate rains are likely today.,A Light to moderate rains likely today.,0.8571428571428571,0.7559289460184544,0.488923022434901,0.8412698412698414,0.8571428571428571,0.6666666666666666,0.8571428571428571,1.0,0.0,1.0
HC piqued over Registry delaying disposal of cases,The High Court is piqued over the Registry delaying disposal of cases.,HC piqued over Registry delaying disposal of cases.,0.5307143272485543,0.4795045888541125,0.36064528799877893,0.5964109781843773,0.7000000000000001,0.5555555555555556,0.7000000000000001,1.0,0.0,0.6666666666666666
Metro stations don new look as CMRL looks to step up revenue,Metro stations have donned a new look as CMRL looks to step up revenue.,Metro stations don new look as CMRL looks to step up revenue.,0.7759415811497294,0.7330746775945421,0.6510803637373397,0.8627717391304347,0.923076923076923,0.7500000000000001,0.923076923076923,0.972972972972973,0.0,0.8571428571428571
Judgement reserved in Ayanavaram sexual assault case,Judgement has been reserved in the Ayanavaram sexual assault case.,Judgement reserved in Ayanavaram sexual assault case.,0.6514390575310556,0.5318977631568871,0.3310175185585074,0.6932463707132337,0.8235294117647058,0.5333333333333333,0.8235294117647058,0.9473684210526316,0.0,0.7
CBSE can make changes to names in mark statements: HC,"The CBSE can make changes to names in mark statements, according to the High Court.",CBSE can make changes to names in mark statements : HC.,0.50555922065373,0.49598941105476907,0.4717596134167723,0.5334974315068493,0.7200000000000001,0.6956521739130435,0.7200000000000001,0.8823529411764706,0.0,0.7333333333333333
Warrant issued against inspector,A warrant has been issued against an inspector.,Warrant issued against inspector.,0.36787944117144233,0.21239529438966132,0.0743306114738671,0.4152960526315789,0.6666666666666666,0.2,0.6666666666666666,0.9375,0.0,0.5
Electric scooters for Rs. 1/minute,Electric scooters are available for Rs. 1 per minute.,Electric scooters for Rs . 1 / minute.,0.5515605641153721,0.263696386404524,0.06518210333288976,0.4179775280898876,0.8,0.4615384615384615,0.8,0.8484848484848485,0.0,0.8888888888888888
Govt. eye doctors to be trained in paediatric ophthalmology: official,"Government eye doctors will be trained in paediatric ophthalmology, an official said.",Govt . eye doctors to be trained in paediatric ophthalmology : official.,0.5,0.4264014327112209,0.2521193618434983,0.49074074074074076,0.7272727272727272,0.5,0.7272727272727272,0.9302325581395349,0.0,1.0
Centre for health systems opens,A centre for health systems has opened.,A Centre for health systems opens.,0.7054014374088451,0.6911494341909904,0.6431870218238024,0.7217391304347825,0.923076923076923,0.7272727272727272,0.923076923076923,0.967741935483871,0.0,0.8571428571428571
"As T. Nagar nears 100, a look at its history","As T. Nagar nears its 100th anniversary, a look at its history is underway.","As T. Nagar nears 100 , a look at its history.",0.5536730085068172,0.5028984840779667,0.35723792743670973,0.5793795620437956,0.75,0.6363636363636364,0.75,0.8947368421052632,0.0,0.7857142857142857
"Despite roping in Prashant Kishor, DMK retains Demos Project’s services","Despite engaging Prashant Kishor, DMK retains Demos Project's services.","Despite roping in Prashant Kishor , DMK retains Demos Project ’s services.",0.5,0.30151134457776363,0.10025157431478134,0.5495818399044207,0.8571428571428572,0.7368421052631577,0.8571428571428572,0.9500000000000001,0.0,1.3333333333333333
Ex-Mayor of Chennai Balasundaram dead,"The ex-Mayor of Chennai, Balasundaram, is dead.",Ex - Mayor of Chennai Balasundaram dead.,0.2857142857142857,0.06900655593423542,0.039281465090051315,0.14285714285714285,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.9500000000000001,0.0,1.0
"Man, 67, held for sexually assaulting a minor",A 67-year-old man has been held for sexually assaulting a minor.,"Man , 67 , held for sexually assaulting a minor.",0.6333861926251716,0.5642652681706181,0.4861555413051454,0.634712600636585,0.761904761904762,0.5263157894736842,0.6666666666666667,0.9302325581395349,0.0,0.9090909090909091
Kavalan SOS app brings police to door in time,The Kavalan SOS app brings police to the door in time.,Kavalan SOS app brings police to door in time.,0.800737402916808,0.749021254622464,0.598690849764947,0.8287608596250572,0.9,0.7777777777777777,0.9,0.972972972972973,0.0,0.8181818181818182
10 hurt as bus overturns,Ten people were hurt as a bus overturned.,10 hurt as bus overturns.,0.32928698165641584,0.21255383267970096,0.06900940978236146,0.40990259740259744,0.6153846153846154,0.36363636363636365,0.6153846153846154,0.7999999999999999,0.0,0.625
Governor gives Rs. 1 lakh to fund for armed forces,The Governor has given Rs. 1 lakh to the fund for armed forces.,Governor gives Rs . 1 lakh to fund for armed forces.,0.6063657586001313,0.5027719267489633,0.29251718341295524,0.6085205078125001,0.7826086956521738,0.5714285714285715,0.7826086956521738,1.0,0.0,0.8461538461538461
Telugu to be taught at Tamil institute,Telugu will be taught at the Tamil institute.,A Telugu to be taught at Tamil institute.,0.75,0.5669467095138409,0.18092176081223305,0.703125,0.75,0.42857142857142855,0.75,0.9285714285714286,0.0,1.0
Teams study T. N.’s model on preventing accident fatalities,Teams are studying Tamil Nadu's model on preventing accident fatalities.,Teams study T. N. ’s model on preventing accident fatalities.,0.6,0.5163977794943222,0.4111336169005197,0.6724489795918367,0.761904761904762,0.5263157894736842,0.761904761904762,0.9500000000000001,0.0,1.0
Charuhasan to get award at film festival,Charuhasan will receive an award at a film festival.,Charuhasan to get award at film festival.,0.5367694950537757,0.36668337256566885,0.07849573146438121,0.5068181818181817,0.6250000000000001,0.28571428571428575,0.6250000000000001,0.9444444444444444,0.0,0.7777777777777778
Three held in Central station,Three people have been held at Central station.,Three held in Central station.,0.43904930887522114,0.24543602502982406,0.07415543676501504,0.40990259740259744,0.6153846153846154,0.18181818181818182,0.6153846153846154,0.896551724137931,0.0,0.625
Woman held for murder of her husband,A woman has been held for the murder of her husband.,A Woman held for murder of her husband.,0.6872892787909722,0.5808654581994838,0.3210589238086879,0.7279497663551402,0.8421052631578948,0.588235294117647,0.8421052631578948,0.967741935483871,0.0,0.7272727272727273
HITS entrance exam in April,The HITS entrance exam will be held in April.,HITS entrance exam in April.,0.44932896411722156,0.3891302975816604,0.1502421942492453,0.5627906976744186,0.7142857142857143,0.5,0.7142857142857143,0.9032258064516129,0.0,0.5555555555555556
coimbatore,coimbatore,coimbatore.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9473684210526316,0.0,1.0
Textool Road full of potholes,Textool Road is full of potholes.,Textool Road full of potholes.,0.8187307530779819,0.7090416310250969,0.2737591267534727,0.8203389830508474,0.9090909090909091,0.6666666666666665,0.9090909090909091,0.9655172413793104,0.0,0.8333333333333334
Bharathiar University refers ‘Part B’ Ph.D. issue to UGC,Bharathiar University has referred the 'Part B' Ph.D. issue to the UGC.,Bharathiar University refers ‘ Part B ’ Ph.D. issue to UGC.,0.4980549361539613,0.3693674263995535,0.11211288136839621,0.5333561996227062,0.8695652173913044,0.5714285714285715,0.8695652173913044,0.9268292682926829,0.0,0.9166666666666666
HPT-32 Deepak aircraft exhibited at Police Museum,An HPT-32 Deepak aircraft has been exhibited at the Police Museum.,HPT-32 Deepak aircraft exhibited at Police Museum.,0.5647181220077593,0.4610904158072619,0.13569111493289868,0.6343858298036196,0.8,0.5555555555555556,0.8,0.9777777777777777,0.0,0.6363636363636364
Activists oppose Transgender Persons Bill,Activists oppose the Transgender Persons Bill.,Activists oppose Transgender Persons Bill.,0.8187307530779819,0.7090416310250969,0.2737591267534727,0.8203389830508474,0.9090909090909091,0.6666666666666665,0.9090909090909091,0.9696969696969697,0.0,0.8333333333333334
Plea to civic body,A plea has been made to the civic body.,A Plea to civic body.,0.44932896411722156,0.31772355751081427,0.07634297905264845,0.5186046511627908,0.7142857142857143,0.3333333333333333,0.7142857142857143,0.8666666666666666,0.0,0.5555555555555556
Man arrested under POCSO Act,A man has been arrested under the POCSO Act.,Man arrested under POCSO Act.,0.44932896411722156,0.31772355751081427,0.07634297905264845,0.5186046511627908,0.7142857142857143,0.3333333333333333,0.7142857142857143,0.9285714285714286,0.0,0.5555555555555556
Man booked under Arms Act,A man has been booked under the Arms Act.,A Man booked under Arms Act.,0.6065306597126334,0.4698166288062454,0.09069748827745894,0.6465517241379309,0.8,0.4615384615384615,0.8,0.9655172413793104,0.0,0.6666666666666666
Briefly,Briefly,Briefly.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9333333333333333,0.0,1.0
Power shutdown,Power shutdown,A Power shutdown.,0.3333333333333333,0.12909944487358058,0.11362193664674995,0.2380952380952381,0.8,0.6666666666666666,0.8,0.9166666666666666,0.0,1.5
dharmapuri,dharmapuri,dharmapuri.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9411764705882353,0.0,1.0
