pair_index,event_type,word/constituent,pos_label,parent_label,grandparent_label,additional_context
2,word_added,.,.,S,ROOT,"['Karan', 'Johar'], ['has', 'said', 'that', 'Hardik', 'and', 'Rahul', 'were', 'gracious', 'when', 'he', 'apologised', 'to', 'them']"
2,word_added,that,IN,SBAR,VP,"['Hardik', 'and', 'Rahul', 'were', 'gracious', 'when', 'he', 'apologised', 'to', 'them']"
2,word_added,has,VBZ,VP,S,"['said', 'that', 'Hardik', 'and', 'Rahul', 'were', 'gracious', 'when', 'he', 'apologised', 'to', 'them']"
2,word_added,he,PRP,NP,S,
2,word_added,and,CC,NP,S,"['Hardik'], ['Rahul']"
2,constituent_added,Karan Johar,NP,S,,
2,constituent_added,Hardik and Rahul,NP,S,,
2,constituent_added,gracious,ADJP,VP,,
2,constituent_added,when,WHADVP,SBAR,,
2,constituent_added,he,NP,S,,
2,constituent_added,them,NP,PP,,
2,constituent_added,to them,PP,VP,,
2,constituent_added,apologised to them,VP,S,,
2,constituent_added,he apologised to them,S,SBAR,,
2,constituent_added,when he apologised to them,SBAR,VP,,
2,constituent_added,were gracious when he apologised to them,VP,S,,
2,constituent_added,Hardik and Rahul were gracious when he apologised to them,S,SBAR,,
2,constituent_added,that Hardik and Rahul were gracious when he apologised to them,SBAR,VP,,
2,constituent_added,said that Hardik and Rahul were gracious when he apologised to them,VP,VP,,
2,constituent_added,has said that Hardik and Rahul were gracious when he apologised to them,VP,S,,
2,constituent_added,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them .,S,ROOT,,
2,constituent_added,Karan Johar has said that Hardik and Rahul were gracious when he apologised to them .,ROOT,,,
2,constituent_removed,Hardik,NP,NP,,
2,constituent_removed,Rahul,NP,NP,,
2,constituent_removed,"Hardik , Rahul",NP,S,,
2,constituent_removed,gracious,ADJP,VP,,
2,constituent_removed,when,WHADVP,SBAR,,
2,constituent_removed,I,NP,S,,
2,constituent_removed,them,NP,PP,,
2,constituent_removed,to them,PP,VP,,
2,constituent_removed,apologised to them,VP,S,,
2,constituent_removed,I apologised to them,S,SBAR,,
2,constituent_removed,when I apologised to them,SBAR,VP,,
2,constituent_removed,were gracious when I apologised to them,VP,S,,
2,constituent_removed,"Hardik , Rahul were gracious when I apologised to them",S,S,,
2,constituent_removed,Karan Johar,NP,FRAG,,
2,constituent_removed,Karan Johar,FRAG,S,,
2,constituent_removed,"Hardik , Rahul were gracious when I apologised to them : Karan Johar",S,ROOT,,
2,constituent_removed,"Hardik , Rahul were gracious when I apologised to them : Karan Johar",ROOT,,,
3,word_removed,SA,NNP,NP,NP,['player']
3,word_removed,apologises,VBZ,VP,S,"['to', 'SA', 'player', 'he', 'called', ""'"", 'Abey', 'Kaale']"
3,word_added,the,DT,NP,NP,"['South', 'African'], ['player']"
3,word_added,apologised,VBN,VP,VP,"['to', 'the', 'South', 'African', 'player', 'he', 'called', ""'"", 'Abey', 'Kaale', ""'""]"
3,word_added,.,.,S,ROOT,"['Sarfaraz'], ['has', 'personally', 'apologised', 'to', 'the', 'South', 'African', 'player', 'he', 'called', ""'"", 'Abey', 'Kaale', ""'""]"
3,word_added,South,NNP,ADJP,NP,['African']
3,word_added,has,VBZ,VP,S,"['personally'], ['apologised', 'to', 'the', 'South', 'African', 'player', 'he', 'called', ""'"", 'Abey', 'Kaale', ""'""]"
3,word_added,African,JJ,ADJP,NP,['South']
3,constituent_added,personally,ADVP,VP,,
3,constituent_added,South African,ADJP,NP,,
3,constituent_added,the South African player,NP,NP,,
3,constituent_added,he,NP,S,,
3,constituent_added,Abey Kaale ',NP,VP,,
3,constituent_added,called ' Abey Kaale ',VP,S,,
3,constituent_added,he called ' Abey Kaale ',S,SBAR,,
3,constituent_added,he called ' Abey Kaale ',SBAR,NP,,
3,constituent_added,the South African player he called ' Abey Kaale ',NP,PP,,
3,constituent_added,to the South African player he called ' Abey Kaale ',PP,VP,,
3,constituent_added,apologised to the South African player he called ' Abey Kaale ',VP,VP,,
3,constituent_added,has personally apologised to the South African player he called ' Abey Kaale ',VP,S,,
3,constituent_added,Sarfaraz has personally apologised to the South African player he called ' Abey Kaale ' .,S,ROOT,,
3,constituent_added,Sarfaraz has personally apologised to the South African player he called ' Abey Kaale ' .,ROOT,,,
3,constituent_removed,personally,ADVP,S,,
3,constituent_removed,SA player,NP,NP,,
3,constituent_removed,he,NP,S,,
3,constituent_removed,Abey Kaale,NP,VP,,
3,constituent_removed,called ' Abey Kaale,VP,S,,
3,constituent_removed,he called ' Abey Kaale,S,SBAR,,
3,constituent_removed,he called ' Abey Kaale,SBAR,NP,,
3,constituent_removed,SA player he called ' Abey Kaale,NP,PP,,
3,constituent_removed,to SA player he called ' Abey Kaale,PP,VP,,
3,constituent_removed,apologises to SA player he called ' Abey Kaale,VP,S,,
3,constituent_removed,Sarfaraz personally apologises to SA player he called ' Abey Kaale ',S,ROOT,,
3,constituent_removed,Sarfaraz personally apologises to SA player he called ' Abey Kaale ',ROOT,,,
4,word_removed,SA,NNP,NP,S,['captain']
4,word_removed,:,:,S,ROOT,"['We', 'forgive', 'Sarfaraz', 'but', 'wo', ""n't"", 'take', 'his', 'remarks', 'lightly'], ['SA', 'captain']"
4,word_added,The,DT,NP,S,"['South', 'African'], ['captain']"
4,word_added,"""",'',SBAR,VP,"['We', 'forgive', 'Sarfaraz', 'but', 'wo', ""n't"", 'take', 'his', 'remarks', 'lightly']"
4,word_added,",",",",VP,VP,"['said'], ['""', 'We', 'forgive', 'Sarfaraz', 'but', 'wo', ""n't"", 'take', 'his', 'remarks', 'lightly']"
4,word_added,.,.,S,ROOT,"['The', 'South', 'African', 'captain'], ['has', 'said', ',', '""', 'We', 'forgive', 'Sarfaraz', 'but', 'wo', ""n't"", 'take', 'his', 'remarks', 'lightly'], ['""']"
4,word_added,said,VBN,VP,VP,"[','], ['""', 'We', 'forgive', 'Sarfaraz', 'but', 'wo', ""n't"", 'take', 'his', 'remarks', 'lightly']"
4,word_added,South,NNP,ADJP,NP,['African']
4,word_added,has,VBZ,VP,S,"['said', ',', '""', 'We', 'forgive', 'Sarfaraz', 'but', 'wo', ""n't"", 'take', 'his', 'remarks', 'lightly']"
4,word_added,African,JJ,ADJP,NP,['South']
4,constituent_added,South African,ADJP,NP,,
4,constituent_added,The South African captain,NP,S,,
4,constituent_added,We,NP,S,,
4,constituent_added,Sarfaraz,NP,VP,,
4,constituent_added,forgive Sarfaraz,VP,S,,
4,constituent_added,We forgive Sarfaraz,S,S,,
4,constituent_added,his remarks,NP,VP,,
4,constituent_added,lightly,ADVP,VP,,
4,constituent_added,take his remarks lightly,VP,VP,,
4,constituent_added,wo n't take his remarks lightly,VP,S,,
4,constituent_added,wo n't take his remarks lightly,S,S,,
4,constituent_added,We forgive Sarfaraz but wo n't take his remarks lightly,S,SBAR,,
4,constituent_added,""" We forgive Sarfaraz but wo n't take his remarks lightly",SBAR,VP,,
4,constituent_added,"said , "" We forgive Sarfaraz but wo n't take his remarks lightly",VP,VP,,
4,constituent_added,"has said , "" We forgive Sarfaraz but wo n't take his remarks lightly",VP,S,,
4,constituent_added,"The South African captain has said , "" We forgive Sarfaraz but wo n't take his remarks lightly . """,S,ROOT,,
4,constituent_added,"The South African captain has said , "" We forgive Sarfaraz but wo n't take his remarks lightly . """,ROOT,,,
4,constituent_removed,We,NP,S,,
4,constituent_removed,Sarfaraz,NP,VP,,
4,constituent_removed,forgive Sarfaraz,VP,S,,
4,constituent_removed,We forgive Sarfaraz,S,S,,
4,constituent_removed,his remarks,NP,VP,,
4,constituent_removed,lightly,ADVP,VP,,
4,constituent_removed,take his remarks lightly,VP,VP,,
4,constituent_removed,wo n't take his remarks lightly,VP,S,,
4,constituent_removed,wo n't take his remarks lightly,S,S,,
4,constituent_removed,We forgive Sarfaraz but wo n't take his remarks lightly,S,S,,
4,constituent_removed,SA captain,NP,S,,
4,constituent_removed,We forgive Sarfaraz but wo n't take his remarks lightly : SA captain,S,ROOT,,
4,constituent_removed,We forgive Sarfaraz but wo n't take his remarks lightly : SA captain,ROOT,,,
5,word_removed,",",",",NP,S,"['Hardik', 'Pandya'], ['KL', 'Rahul']"
5,word_removed,:,:,S,ROOT,"['Hardik', 'Pandya', ',', 'KL', 'Rahul', 'have', 'really', 'suffered'], ['Azharuddin']"
5,word_added,said,VBN,VP,VP,"['that', 'Hardik', 'Pandya', 'and', 'KL', 'Rahul', 'have', 'really', 'suffered']"
5,word_added,.,.,S,ROOT,"['Azharuddin'], ['has', 'said', 'that', 'Hardik', 'Pandya', 'and', 'KL', 'Rahul', 'have', 'really', 'suffered']"
5,word_added,that,IN,SBAR,VP,"['Hardik', 'Pandya', 'and', 'KL', 'Rahul', 'have', 'really', 'suffered']"
5,word_added,has,VBZ,VP,S,"['said', 'that', 'Hardik', 'Pandya', 'and', 'KL', 'Rahul', 'have', 'really', 'suffered']"
5,word_added,and,CC,NP,S,"['Hardik', 'Pandya'], ['KL', 'Rahul']"
5,constituent_added,Azharuddin,NP,S,,
5,constituent_added,Hardik Pandya,NP,NP,,
5,constituent_added,KL Rahul,NP,NP,,
5,constituent_added,Hardik Pandya and KL Rahul,NP,S,,
5,constituent_added,really,ADVP,VP,,
5,constituent_added,suffered,VP,VP,,
5,constituent_added,have really suffered,VP,S,,
5,constituent_added,Hardik Pandya and KL Rahul have really suffered,S,SBAR,,
5,constituent_added,that Hardik Pandya and KL Rahul have really suffered,SBAR,VP,,
5,constituent_added,said that Hardik Pandya and KL Rahul have really suffered,VP,VP,,
5,constituent_added,has said that Hardik Pandya and KL Rahul have really suffered,VP,S,,
5,constituent_added,Azharuddin has said that Hardik Pandya and KL Rahul have really suffered .,S,ROOT,,
5,constituent_added,Azharuddin has said that Hardik Pandya and KL Rahul have really suffered .,ROOT,,,
5,constituent_removed,Hardik Pandya,NP,NP,,
5,constituent_removed,KL Rahul,NP,NP,,
5,constituent_removed,"Hardik Pandya , KL Rahul",NP,S,,
5,constituent_removed,really,ADVP,VP,,
5,constituent_removed,suffered,VP,VP,,
5,constituent_removed,have really suffered,VP,S,,
5,constituent_removed,"Hardik Pandya , KL Rahul have really suffered",S,S,,
5,constituent_removed,Azharuddin,NP,S,,
5,constituent_removed,"Hardik Pandya , KL Rahul have really suffered : Azharuddin",S,ROOT,,
5,constituent_removed,"Hardik Pandya , KL Rahul have really suffered : Azharuddin",ROOT,,,
6,word_removed,9,CD,NP,PP,"['sports'], ['personalities']"
6,word_removed,get,VB,VP,VP,"['Padma', 'Awards']"
6,word_removed,",",",",NP,ROOT,"['Gambhir'], ['Chhetri'], ['among', '9', 'sports', 'personalities', 'to', 'get', 'Padma', 'Awards']"
6,word_added,nine,CD,NP,NP,"['sports'], ['personalities']"
6,word_added,are,VBP,VP,S,"['among', 'nine', 'sports', 'personalities', 'to', 'receive', 'Padma', 'Awards']"
6,word_added,.,.,S,ROOT,"['Gambhir', 'and', 'Chhetri'], ['are', 'among', 'nine', 'sports', 'personalities', 'to', 'receive', 'Padma', 'Awards']"
6,word_added,receive,VB,VP,VP,"['Padma', 'Awards']"
6,word_added,and,CC,NP,S,"['Gambhir'], ['Chhetri']"
6,constituent_added,Gambhir and Chhetri,NP,S,,
6,constituent_added,nine sports personalities,NP,NP,,
6,constituent_added,Padma Awards,NP,VP,,
6,constituent_added,receive Padma Awards,VP,VP,,
6,constituent_added,to receive Padma Awards,VP,S,,
6,constituent_added,to receive Padma Awards,S,SBAR,,
6,constituent_added,to receive Padma Awards,SBAR,NP,,
6,constituent_added,nine sports personalities to receive Padma Awards,NP,PP,,
6,constituent_added,among nine sports personalities to receive Padma Awards,PP,VP,,
6,constituent_added,are among nine sports personalities to receive Padma Awards,VP,S,,
6,constituent_added,Gambhir and Chhetri are among nine sports personalities to receive Padma Awards .,S,ROOT,,
6,constituent_added,Gambhir and Chhetri are among nine sports personalities to receive Padma Awards .,ROOT,,,
6,constituent_removed,Gambhir,NP,NP,,
6,constituent_removed,Chhetri,NP,NP,,
6,constituent_removed,9 sports personalities,NP,PP,,
6,constituent_removed,among 9 sports personalities,PP,PP,,
6,constituent_removed,Padma Awards,NP,VP,,
6,constituent_removed,get Padma Awards,VP,VP,,
6,constituent_removed,to get Padma Awards,VP,S,,
6,constituent_removed,to get Padma Awards,S,SBAR,,
6,constituent_removed,to get Padma Awards,SBAR,PP,,
6,constituent_removed,among 9 sports personalities to get Padma Awards,PP,NP,,
6,constituent_removed,"Gambhir , Chhetri among 9 sports personalities to get Padma Awards",NP,ROOT,,
6,constituent_removed,"Gambhir , Chhetri among 9 sports personalities to get Padma Awards",ROOT,,,
7,word_removed,NYT,NNP,NP,NP,
7,word_removed,:,:,NP,VP,"['WhatsApp', ',', 'Instagram', ',', 'Messenger'], ['NYT']"
7,word_added,New,NNP,NML,NP,['York']
7,word_added,The,DT,NP,S,"['New', 'York'], ['Times']"
7,word_added,.,.,S,ROOT,"['The', 'New', 'York', 'Times'], ['has', 'reported', 'that', 'Zuckerberg', 'may', 'integrate', 'WhatsApp', ',', 'Instagram', ',', 'and', 'Messenger']"
7,word_added,reported,VBN,VP,VP,"['that', 'Zuckerberg', 'may', 'integrate', 'WhatsApp', ',', 'Instagram', ',', 'and', 'Messenger']"
7,word_added,York,NNP,NML,NP,['New']
7,word_added,that,IN,SBAR,VP,"['Zuckerberg', 'may', 'integrate', 'WhatsApp', ',', 'Instagram', ',', 'and', 'Messenger']"
7,word_added,has,VBZ,VP,S,"['reported', 'that', 'Zuckerberg', 'may', 'integrate', 'WhatsApp', ',', 'Instagram', ',', 'and', 'Messenger']"
7,word_added,and,CC,NP,VP,"['WhatsApp'], [','], ['Instagram'], [','], ['Messenger']"
7,word_added,Times,NNP,NP,S,"['The'], ['New', 'York']"
7,constituent_added,New York,NML,NP,,
7,constituent_added,The New York Times,NP,S,,
7,constituent_added,Zuckerberg,NP,S,,
7,constituent_added,"WhatsApp , Instagram , and Messenger",NP,VP,,
7,constituent_added,"integrate WhatsApp , Instagram , and Messenger",VP,VP,,
7,constituent_added,"may integrate WhatsApp , Instagram , and Messenger",VP,S,,
7,constituent_added,"Zuckerberg may integrate WhatsApp , Instagram , and Messenger",S,SBAR,,
7,constituent_added,"that Zuckerberg may integrate WhatsApp , Instagram , and Messenger",SBAR,VP,,
7,constituent_added,"reported that Zuckerberg may integrate WhatsApp , Instagram , and Messenger",VP,VP,,
7,constituent_added,"has reported that Zuckerberg may integrate WhatsApp , Instagram , and Messenger",VP,S,,
7,constituent_added,"The New York Times has reported that Zuckerberg may integrate WhatsApp , Instagram , and Messenger .",S,ROOT,,
7,constituent_added,"The New York Times has reported that Zuckerberg may integrate WhatsApp , Instagram , and Messenger .",ROOT,,,
7,constituent_removed,Zuckerberg,NP,S,,
7,constituent_removed,"WhatsApp , Instagram , Messenger",NP,NP,,
7,constituent_removed,NYT,NP,NP,,
7,constituent_removed,"WhatsApp , Instagram , Messenger : NYT",NP,VP,,
7,constituent_removed,"integrate WhatsApp , Instagram , Messenger : NYT",VP,VP,,
7,constituent_removed,"may integrate WhatsApp , Instagram , Messenger : NYT",VP,S,,
7,constituent_removed,"Zuckerberg may integrate WhatsApp , Instagram , Messenger : NYT",S,ROOT,,
7,constituent_removed,"Zuckerberg may integrate WhatsApp , Instagram , Messenger : NYT",ROOT,,,
8,word_removed,decriminalises,VBZ,VP,S,['homosexuality']
8,word_added,decriminalised,VBN,VP,VP,['homosexuality']
8,word_added,.,.,S,ROOT,"['Angola'], ['has', 'decriminalised', 'homosexuality']"
8,word_added,has,VBZ,VP,S,"['decriminalised', 'homosexuality']"
8,constituent_added,homosexuality,NP,VP,,
8,constituent_added,decriminalised homosexuality,VP,VP,,
8,constituent_added,has decriminalised homosexuality,VP,S,,
8,constituent_added,Angola has decriminalised homosexuality .,S,ROOT,,
8,constituent_added,Angola has decriminalised homosexuality .,ROOT,,,
8,constituent_removed,homosexuality,NP,VP,,
8,constituent_removed,decriminalises homosexuality,VP,S,,
8,constituent_removed,Angola decriminalises homosexuality,S,ROOT,,
8,constituent_removed,Angola decriminalises homosexuality,ROOT,,,
9,word_removed,lose,VBP,VP,S,"['₹', '14,000', 'crore', 'market', 'value'], ['in', 'a', 'day'], ['after', 'media', 'report']"
9,word_added,lost,VBD,VP,S,"['₹', '14,000', 'crore', 'in', 'market', 'value'], ['in', 'a', 'day', 'after', 'a', 'media', 'report']"
9,word_added,.,.,S,ROOT,"['Zee', 'firms'], ['lost', '₹', '14,000', 'crore', 'in', 'market', 'value', 'in', 'a', 'day', 'after', 'a', 'media', 'report']"
9,constituent_added,"₹ 14,000 crore",NP,NP,,
9,constituent_added,market value,NP,PP,,
9,constituent_added,in market value,PP,NP,,
9,constituent_added,"₹ 14,000 crore in market value",NP,VP,,
9,constituent_added,a day,NP,NP,,
9,constituent_added,a media report,NP,PP,,
9,constituent_added,after a media report,PP,NP,,
9,constituent_added,a day after a media report,NP,PP,,
9,constituent_added,in a day after a media report,PP,VP,,
9,constituent_added,"lost ₹ 14,000 crore in market value in a day after a media report",VP,S,,
9,constituent_added,"Zee firms lost ₹ 14,000 crore in market value in a day after a media report .",S,ROOT,,
9,constituent_added,"Zee firms lost ₹ 14,000 crore in market value in a day after a media report .",ROOT,,,
9,constituent_removed,"₹ 14,000 crore market value",NP,VP,,
9,constituent_removed,a day,NP,PP,,
9,constituent_removed,in a day,PP,VP,,
9,constituent_removed,media report,NP,PP,,
9,constituent_removed,after media report,PP,VP,,
9,constituent_removed,"lose ₹ 14,000 crore market value in a day after media report",VP,S,,
9,constituent_removed,"Zee firms lose ₹ 14,000 crore market value in a day after media report",S,ROOT,,
9,constituent_removed,"Zee firms lose ₹ 14,000 crore market value in a day after media report",ROOT,,,
10,word_added,is,VBZ,VP,S,"['being', 'demolished']"
10,word_added,.,.,S,ROOT,"['Nirav', 'Modi', ""'s"", '₹', '100', '-', 'crore', 'sea', '-', 'facing', 'Alibaug', 'bungalow'], ['is', 'being', 'demolished']"
10,constituent_added,demolished,VP,VP,,
10,constituent_added,being demolished,VP,VP,,
10,constituent_added,is being demolished,VP,S,,
10,constituent_added,Nirav Modi 's ₹ 100 - crore sea - facing Alibaug bungalow is being demolished .,S,ROOT,,
10,constituent_added,Nirav Modi 's ₹ 100 - crore sea - facing Alibaug bungalow is being demolished .,ROOT,,,
10,constituent_removed,demolished,VP,VP,,
10,constituent_removed,being demolished,VP,S,,
10,constituent_removed,Nirav Modi 's ₹ 100 - crore sea - facing Alibaug bungalow being demolished,S,ROOT,,
10,constituent_removed,Nirav Modi 's ₹ 100 - crore sea - facing Alibaug bungalow being demolished,ROOT,,,
11,word_removed,denies,VBZ,VP,S,"['campaigning', 'for', 'Congress']"
11,word_added,the,DT,NP,PP,['Congress']
11,word_added,.,.,S,ROOT,"['Malayalam', 'actress', 'Manju'], ['has', 'denied', 'campaigning', 'for', 'the', 'Congress']"
11,word_added,denied,VBN,VP,VP,"['campaigning', 'for', 'the', 'Congress']"
11,word_added,has,VBZ,VP,S,"['denied', 'campaigning', 'for', 'the', 'Congress']"
11,constituent_added,the Congress,NP,PP,,
11,constituent_added,for the Congress,PP,VP,,
11,constituent_added,campaigning for the Congress,VP,S,,
11,constituent_added,campaigning for the Congress,S,VP,,
11,constituent_added,denied campaigning for the Congress,VP,VP,,
11,constituent_added,has denied campaigning for the Congress,VP,S,,
11,constituent_added,Malayalam actress Manju has denied campaigning for the Congress .,S,ROOT,,
11,constituent_added,Malayalam actress Manju has denied campaigning for the Congress .,ROOT,,,
11,constituent_removed,Congress,NP,PP,,
11,constituent_removed,for Congress,PP,VP,,
11,constituent_removed,campaigning for Congress,VP,S,,
11,constituent_removed,campaigning for Congress,S,VP,,
11,constituent_removed,denies campaigning for Congress,VP,S,,
11,constituent_removed,Malayalam actress Manju denies campaigning for Congress,S,ROOT,,
11,constituent_removed,Malayalam actress Manju denies campaigning for Congress,ROOT,,,
12,word_removed,thrice,NN,NP,VP,
12,word_added,times,NNS,NP,VP,['three']
12,word_added,The,DT,NP,NP,['actor']
12,word_added,the,DT,NP,VP,['Oscars']
12,word_added,.,.,S,ROOT,"['The', 'actor', 'from', ""'"", 'Roma', ""'""], ['may', 'miss', 'the', 'Oscars', 'after', 'his', 'US', 'visa', 'was', 'denied', 'three', 'times']"
12,word_added,his,PRP$,NP,S,"['US'], ['visa']"
12,word_added,three,CD,NP,VP,['times']
12,word_added,from,IN,PP,NP,"[""'"", 'Roma', ""'""]"
12,constituent_added,The actor,NP,NP,,
12,constituent_added,' Roma ',NP,PP,,
12,constituent_added,from ' Roma ',PP,NP,,
12,constituent_added,The actor from ' Roma ',NP,S,,
12,constituent_added,his US visa,NP,S,,
12,constituent_added,three times,NP,VP,,
12,constituent_added,denied three times,VP,VP,,
12,constituent_added,was denied three times,VP,S,,
12,constituent_added,his US visa was denied three times,S,SBAR,,
12,constituent_added,after his US visa was denied three times,SBAR,VP,,
12,constituent_added,miss the Oscars after his US visa was denied three times,VP,VP,,
12,constituent_added,may miss the Oscars after his US visa was denied three times,VP,S,,
12,constituent_added,The actor from ' Roma ' may miss the Oscars after his US visa was denied three times .,S,ROOT,,
12,constituent_added,The actor from ' Roma ' may miss the Oscars after his US visa was denied three times .,ROOT,,,
12,constituent_removed,Roma ',NP,NP,,
12,constituent_removed,' Roma ' actor,NP,S,,
12,constituent_removed,Oscars,NP,VP,,
12,constituent_removed,thrice,NP,VP,,
12,constituent_removed,denied thrice,VP,VP,,
12,constituent_removed,was denied thrice,VP,S,,
12,constituent_removed,US visa was denied thrice,S,SBAR,,
12,constituent_removed,after US visa was denied thrice,SBAR,VP,,
12,constituent_removed,miss Oscars after US visa was denied thrice,VP,VP,,
12,constituent_removed,may miss Oscars after US visa was denied thrice,VP,S,,
12,constituent_removed,' Roma ' actor may miss Oscars after US visa was denied thrice,S,ROOT,,
12,constituent_removed,' Roma ' actor may miss Oscars after US visa was denied thrice,ROOT,,,
13,word_removed,Language,NN,NP,S,['politicians']
13,word_removed,:,:,S,ROOT,"['Language', 'politicians', 'use', 'spoils', 'younger', 'generation'], ['Gulzar']"
13,word_added,the,DT,NP,NP,['language']
13,word_added,said,VBN,VP,VP,"['that', 'the', 'language', 'politicians', 'use', 'spoils', 'the', 'younger', 'generation']"
13,word_added,.,.,S,ROOT,"['Gulzar'], ['has', 'said', 'that', 'the', 'language', 'politicians', 'use', 'spoils', 'the', 'younger', 'generation']"
